project,non supported method,non isolated methods,imm (special case),imm (general),gen traces,imm traces,imm+ps1c traces,imm+ps3cl traces
agarciadom-xeger,20,5,1,8,5504,5485,2177,685
MezereonXP-AnomalyDetectTool,0,34,12,33,6831,4955,2942,2151
LiveRamp-HyperMinHash-java,0,0,8,3,432,166,160,123
danieldk-dictomaton,2,50,32,112,82822,50849,36583,30246
davidmoten-rtree-multi,10,337,126,141,726043,710298,562167,322923
huaban-jieba-analysis,0,31,17,30,11864,10440,10438,7116
mocnik-science-geogrid,0,4,2,7,567,279,279,172
sbesada-java.math.expression.parser,0,12,5,8,1624,1297,1155,913
myui-btree4j,0,31,18,12,32816,26033,18905,18518
davidmoten-rtree,20,434,269,332,137158,95678,82206,59272
cowtowncoder-java-uuid-generator,0,64,0,71,5088,3963,2471,1788
albfernandez-javadbf,0,191,11,95,13377,11646,8827,5822
almson-almson-refcount,3,11,1,12,76,76,59,40
fusion-jena-JaroWinklerSimilarity,0,30,12,20,37432,35854,23951,23789
jingpeicomp-id-generator,0,6,1,13,352,352,354,352
eightbitjim-cassette-nibbler,0,31,3,101,945550,944539,939703,216717
StarlangSoftware-TurkishDeasciifier,0,85,51,54,942180,929249,925888,564209
fraunhoferfokus-Fuzzino,21,221,61,140,147072,140912,121533,28178
solita-functional-utils,0,158,15,64,44088,29152,27127,25110
dakusui-jcunit,2,76,36,80,31607,29501,29377,24860
wiqer-ef-redis,4,15,0,5,693,616,450,154
indeedeng-vowpal-wabbit-java,1,58,2,29,801,494,491,381
zhoujianling-PointCloudUtilities,7,199,167,133,1910033,422116,362242,195507
StarlangSoftware-TurkishPropBank,0,6,3,5,339,190,190,190
houbb-sensitive-word,10,56,33,38,7715,6326,5102,3669
Grundlefleck-ASM-NonClassloadingExtensions,1,18,9,7,2441,1762,1707,579
StarlangSoftware-TurkishSpellChecker,0,134,87,185,368700,326530,319956,134287
Antibrumm-jackson-antpathfilter,2,20,13,24,4337,2968,2604,594
octavian-h-time-series-math,1,10,34,40,3874272,3735618,1325226,241440
conveyal-osm-lib,4,171,70,74,51762,36581,36406,16876
StarlangSoftware-TurkishSentiNet,0,0,0,6,140,101,82,74
dperezcabrera-jpoker,5,63,14,90,44450,39322,20698,4722
f4b6a3-uuid-creator,0,7,0,253,8469,7913,4619,2650
codelion-gramtest,5,39,43,49,19184,11189,10286,5149
StarlangSoftware-TurkishMorphologicalAnalysis,2,253,118,104,1663767,916903,888741,645498
StarlangSoftware-TurkishMorphologicalDisambiguation,0,69,34,43,521629,458917,413101,98632
houbb-segment,4,136,31,95,22900,8807,7596,5213
JetBrains-jetCheck,4,168,18,178,200692,73693,62597,61574
aelstad-keccakj,6,78,5,52,1294,1191,849,827
albfernandez-itext2,8,247,56,224,94881,81365,72863,50473
apache-commons-jxpath,23,218,11,200,53831,30615,17627,11866
apache-sling-org-apache-sling-scripting-sightly,11,123,67,119,100036,49709,29964,26744
bdupras-guava-probably,8,94,2,154,7888,6340,4486,1331
contentful-contentful.java,35,341,281,370,120090,72923,65115,25542
cowtowncoder-java-cachemate,0,16,0,13,333,291,207,198
Francesco149-koohii,0,8,8,2,33403,13998,13998,13294
HdrHistogram-HdrHistogram,0,45,20,41,5294,3054,2799,2709
hoijui-Jawk,2,133,14,49,2842,2050,1774,762
iris-edu-stationxml-seed-converter,6,200,80,201,85613,59565,52653,41645
ITArray-automotion-java,59,189,82,121,105011,81390,77777,23350
jenkins-infra-update-center2,56,75,14,70,125751,123955,114338,100001
kungfoo-geohash-java,0,118,16,110,4603325,4120782,3676278,2549419
