sha,download status,download time,test status,test time,mop status,mop time,gen status,gen time,imm status,imm time,imop-gen status,imop-gen time,imop-mop status,imop-mop time,gen+ps1c status,gen+ps1c time,gen+ps3cl status,gen+ps3cl time,mop+ps1c status,mop+ps1c time,mop+ps3cl status,mop+ps3cl time,imm+imop status,imm+imop time,imm+ps1c status,imm+ps1c time,imm+ps3cl status,imm+ps3cl time
8fb7626db097c7c2d668f50bc4ea3561eb4a8186,0,5.165,0,1.143,0,7.296,0,7.354,0,7.647,0,7.109,0,7.941,0,9.003,0,8.848,0,9.341,0,9.331,0,7.647,0,9.197,0,8.924
6183edd6403fcff37741f04557e50b87aaccdc42,0,1.493,0,1.174,0,7.573,0,7.531,0,8.507,0,7.334,0,8.175,0,5.749,0,3.660,0,6.983,0,4.642,0,8.524,0,7.055,0,4.270
a5c283724d3abb90535dc4c991184424fa47e186,0,1.532,0,1.164,0,7.573,0,8.109,0,9.141,0,8.995,0,8.200,0,8.797,0,4.927,0,4.303,0,2.742,0,10.877,0,5.439,0,5.010
297ed23650cbcc77efa8cb549a5f51d488e84d42,0,1.532,0,1.199,0,7.608,0,7.906,0,9.221,0,9.414,0,8.206,0,10.277,0,2.538,0,4.106,0,2.472,0,10.446,0,5.248,0,3.018
f3502f369afba1b1532e62344f3d8b9640c59106,0,1.485,0,1.169,0,7.702,0,8.019,0,9.116,0,9.066,0,8.251,0,1.219,0,1.211,0,1.248,0,1.219,0,10.330,0,1.684,0,1.739
5ed6d405ec074eb0f16d2f00fdb3414ca870d550,0,1.524,0,1.185,0,7.866,0,8.217,0,9.215,0,11.042,0,8.235,0,2.975,0,2.458,0,2.655,0,2.350,0,10.305,0,3.435,0,2.981
0e2241b814d666641ae3234d5a2e7c3c56943084,0,1.529,0,1.215,0,7.853,0,7.987,0,9.470,0,8.698,0,8.332,0,6.869,0,4.568,0,6.513,0,4.922,0,9.579,0,7.156,0,5.097
e86d75f7ab3e4ea577917633e71f288525703f8c,0,1.504,0,1.195,0,7.831,0,7.794,0,8.974,0,8.376,0,8.345,0,2.583,0,2.431,0,2.298,0,2.329,0,9.541,0,3.083,0,2.953
4ad2d7732fa1590b8c12d210d15959266eb24bec,0,1.523,0,1.189,0,7.866,0,8.356,0,9.299,0,8.659,0,8.290,0,4.749,0,4.956,0,4.029,0,2.512,0,9.347,0,5.098,0,6.739
04eeca5d49518eac8fdac1476b44debe4e780ea3,0,3.135,0,1.182,0,7.514,0,7.517,0,8.569,0,7.680,0,8.102,0,8.856,0,8.858,0,9.088,0,9.132,0,8.654,0,9.650,0,9.563
4f3bf0aedd444cf48ef4cedad09ae1c56379cf70,0,6.856,0,6.683,0,24.965,0,47.845,0,37.106,0,45.999,0,26.303,0,45.296,0,75.304,0,22.684,0,20.215,0,35.495,0,40.725,0,44.640
