sha,download status,download time,test status,test time,mop status,mop time,gen status,gen time,imm status,imm time,imop-gen status,imop-gen time,imop-mop status,imop-mop time,gen+ps1c status,gen+ps1c time,gen+ps3cl status,gen+ps3cl time,mop+ps1c status,mop+ps1c time,mop+ps3cl status,mop+ps3cl time,imm+imop status,imm+imop time,imm+ps1c status,imm+ps1c time,imm+ps3cl status,imm+ps3cl time
c239abedbb6d5ef890eafabd122077d60f08804b,0,24.243,0,20.136,0,381.387,0,397.144,0,394.585,0,388.632,0,419.307,0,397.774,0,398.933,0,417.814,0,415.382,0,392.028,0,400.269,0,394.802
969e107342f5178847900d0c4888d5b3af5cd6ec,0,20.760,0,20.293,0,386.150,0,398.648,0,252.468,0,405.014,0,414.137,0,397.962,0,23.378,0,400.581,0,23.979,0,248.728,0,255.812,0,24.461
e8c2c79d47f1cb60c2d04ba8ba59e94a330a2168,0,22.630,0,21.447,0,415.408,0,427.996,0,426.117,0,440.200,0,452.129,0,431.019,0,430.207,0,449.147,0,454.781,0,432.431,0,430.722,0,433.336
8a6d8ce4aedfd82610fb53a321ed3421562b1c00,0,26.390,0,25.794,0,493.671,0,536.872,0,336.662,0,535.847,0,550.932,0,527.296,0,29.427,0,550.463,0,29.922,0,337.577,0,331.684,0,30.476
aca968a05aef0bd2c7dff5cd3559106bec1a2224,0,25.966,0,25.776,0,494.093,0,535.044,0,336.476,0,535.326,0,555.095,0,444.354,0,28.983,0,481.824,0,29.151,0,338.115,0,273.004,0,29.929
d988d0547c185035e72c234f85d60a3922f85ff8,0,26.418,0,25.814,0,492.034,0,538.901,0,336.989,0,536.792,0,557.588,0,446.474,0,29.109,0,481.438,0,29.163,0,345.433,0,271.263,0,29.962
69f50fee40cfa8708ead31b54d3e9104a89397b6,0,26.551,0,25.397,0,494.913,0,533.028,0,1.288,0,531.265,0,554.725,0,2.048,0,2.071,0,2.063,0,2.042,0,1.305,0,1.958,0,1.965
c37c775cb8272045fab1744ddb3521af0f3512d6,0,28.425,0,27.001,0,504.367,0,544.689,0,346.407,0,546.889,0,563.933,0,537.673,0,31.715,0,561.813,0,31.454,0,342.502,0,335.186,0,32.445
b190d7ca548be20927b42e44763b68d6777c798c,0,28.837,0,26.937,0,503.027,0,546.102,0,535.787,0,545.368,0,567.316,0,548.705,0,547.410,0,550.486,0,551.544,0,539.472,0,542.978,0,538.754
15abf3949863ef1fcc74e4f604dacbf9f2dc89fa,0,27.597,0,26.885,0,503.384,0,544.627,0,342.175,0,545.276,0,567.762,0,532.293,0,30.972,0,561.999,0,30.898,0,335.827,0,328.337,0,31.827
193308658f1150f84bb920262ed4b992097b32b6,0,27.492,0,26.947,0,500.935,0,544.008,0,338.592,0,546.046,0,569.571,0,535.696,0,31.103,0,563.540,0,31.220,0,338.303,0,330.292,0,32.058
33fa754320e4f46c193823e3345d39f3482b5f95,0,28.452,0,26.941,0,508.732,0,544.318,0,334.848,0,544.696,0,564.467,0,529.514,0,31.572,0,560.976,0,31.840,0,337.449,0,330.490,0,32.976
57071be1df84fa6783be142d0b0ca96d327838d3,0,27.644,0,27.712,0,518.230,0,546.255,0,336.081,0,537.696,0,566.638,0,536.817,0,31.239,0,559.971,0,31.079,0,337.503,0,331.506,0,32.078
c0693ff9ff5c5e6284a41ab29bcfb5963a5293cf,0,27.537,0,27.792,0,507.391,0,545.982,0,335.339,0,545.160,0,572.823,0,539.670,0,31.035,0,571.655,0,30.893,0,338.903,0,333.242,0,32.050
a6d680fe0bd5c2a644440765a4f05e1bd8abc8f7,0,27.741,0,26.987,0,517.591,0,546.235,0,335.564,0,543.113,0,563.450,0,536.854,0,31.176,0,562.503,0,31.283,0,334.910,0,332.573,0,32.107
f78ae4689d99436abc75701f8b57d60d5296b130,0,28.371,0,27.716,0,508.803,0,552.222,0,334.129,0,549.322,0,566.369,0,536.401,0,31.236,0,562.051,0,31.253,0,338.097,0,332.735,0,32.307
a222a212fdbe6d5e6a235d5d93945faa6b2f11ab,0,27.654,0,27.807,0,505.062,0,544.792,0,334.183,0,549.535,0,568.868,0,536.428,0,30.732,0,555.821,0,30.748,0,336.812,0,335.174,0,31.770
ab2fe629b15865e5d46203ac8cc991fae404d572,0,29.204,0,27.043,0,508.297,0,549.093,0,546.082,0,548.277,0,577.329,0,550.996,0,554.271,0,559.632,0,594.010,0,537.110,0,538.692,0,557.595
