sha,download status,download time,test status,test time,mop status,mop time,track status,track time,gen status,gen time,imm status,imm time,imop-gen status,imop-gen time,imop-mop status,imop-mop time,gen+ps1c status,gen+ps1c time,gen+ps3cl status,gen+ps3cl time,mop+ps1c status,mop+ps1c time,mop+ps3cl status,mop+ps3cl time,imm+imop status,imm+imop time,imm+ps1c status,imm+ps1c time,imm+ps3cl status,imm+ps3cl time
70884f17806b65c2a4b8acc8f2fabd6125ea94bf,0,5.943,0,1.831,0,5.706,0,6.834,0,7.183,0,7.607,0,7.525,0,6.090,0,9.945,0,10.200,0,8.879,0,8.832,0,7.894,0,10.500,0,10.518
63b11acb1eb4b4fd374d947b344c3e60b7e80e36,0,2.635,0,1.836,0,5.877,0,7.009,0,7.249,0,8.276,0,7.583,0,6.107,0,8.018,0,5.801,0,6.266,0,5.585,0,8.525,0,9.119,0,6.931
6cb9ef0d80e71e69fe764f5d8c389ed1d9ff71a2,0,2.570,0,1.842,0,5.914,0,6.889,0,7.122,0,8.162,0,7.482,0,6.117,0,7.158,0,4.363,0,5.526,0,4.140,0,8.381,0,7.829,0,5.297
99357456eb969b9cc9b58f40b677e807097c155b,0,2.633,0,1.824,0,5.967,0,6.897,0,7.156,0,8.104,0,7.538,0,6.167,0,2.278,0,2.305,0,2.348,0,2.289,0,8.462,0,3.226,0,3.239
568edb17fe0c1c379d233e1470a167a190b0dfec,0,2.608,0,1.845,0,5.878,0,6.947,0,7.279,0,8.087,0,7.497,0,6.171,0,4.363,0,4.161,0,4.171,0,4.005,0,8.364,0,5.243,0,5.051
4eae3a52516a204e0b78fa5d2e505b2db7418e1f,0,2.620,0,1.861,0,5.971,0,6.976,0,7.207,0,8.195,0,7.590,0,6.128,0,7.744,0,4.909,0,6.018,0,4.745,0,8.511,0,8.547,0,5.835
9cf55afef2d75511a38c3151e56472737481a70b,0,2.576,0,1.846,0,5.859,0,7.005,0,7.220,0,8.238,0,7.700,0,6.156,0,7.743,0,4.915,0,5.963,0,4.726,0,8.526,0,8.653,0,5.880
b36c822b5d5393e7bcfbf66ffd49667719e01a70,0,2.554,0,1.835,0,5.927,0,6.926,0,7.289,0,8.288,0,7.622,0,6.182,0,7.846,0,5.275,0,6.139,0,4.953,0,8.523,0,8.955,0,6.277
0282d3ab24fab32ce2199f55bf089e0fcb51a416,0,2.566,0,1.837,0,5.910,0,6.939,0,7.206,0,8.256,0,7.631,0,6.260,0,7.903,0,5.357,0,6.256,0,5.124,0,8.597,0,9.001,0,6.474
46c9bfaed4158c9623e1113e8ade09a9b8e6b173,0,2.611,0,1.871,0,5.913,0,6.837,0,7.366,0,8.301,0,7.769,0,6.208,0,8.588,0,5.410,0,6.393,0,5.155,0,8.667,0,9.123,0,6.532
