sha,download status,download time,test status,test time,mop status,mop time,track status,track time,gen status,gen time,imm status,imm time,imop-gen status,imop-gen time,imop-mop status,imop-mop time,gen+ps1c status,gen+ps1c time,gen+ps3cl status,gen+ps3cl time,mop+ps1c status,mop+ps1c time,mop+ps3cl status,mop+ps3cl time,imm+imop status,imm+imop time,imm+ps1c status,imm+ps1c time,imm+ps3cl status,imm+ps3cl time
96b2f21dfc6cb132cb906f42e87b97a040bf8e4d,0,3.934,0,1.402,0,9.196,0,10.494,0,10.612,0,12.054,0,10.871,0,10.145,0,14.169,0,14.250,0,13.380,0,13.386,0,12.339,0,14.772,0,14.781
4fddd6d7869bcfce527de1d62edc3e12c51a752b,0,2.298,0,1.379,0,9.417,0,11.107,0,10.581,0,12.975,0,10.898,0,9.757,0,10.651,0,4.719,0,9.607,0,4.565,0,13.203,0,12.692,0,5.548
418a1e7b5b0fea08790e966b70f481d9814e27d3,0,2.258,0,1.419,0,9.440,0,10.930,0,10.561,0,13.010,0,10.852,0,9.745,0,11.219,0,4.903,0,10.516,0,4.703,0,13.216,0,13.090,0,5.704
721c28e68ed9a619253fcb0a39828176d02c9c1b,0,2.302,0,1.400,0,9.815,0,10.359,0,11.571,0,13.841,0,11.891,0,10.679,0,14.682,0,14.719,0,13.433,0,13.356,0,14.153,0,15.943,0,15.912
d66a71f73851546b6c22767fcb763f0aa881a3d5,0,2.283,0,1.414,0,9.292,0,11.205,0,10.625,0,13.208,0,10.981,0,10.193,0,13.779,0,13.713,0,12.884,0,12.981,0,13.442,0,15.335,0,15.199
6373d1768cefb029ee2a09f0ace8c5fc19b82a08,0,2.383,0,1.515,0,15.896,0,30.252,0,16.892,0,16.158,0,17.245,0,16.759,0,19.851,0,7.904,0,18.494,0,8.565,0,16.436,0,16.490,0,8.934
bc6ee4fed7671702a0b2f23a5be80bf5861e8746,0,2.308,0,1.434,0,10.175,0,13.959,0,11.741,0,13.653,0,12.072,0,10.698,0,12.420,0,6.300,0,11.776,0,6.103,0,13.973,0,14.089,0,7.282
9628429304f9de30a34c60b9c8ea19a2bf2b8389,0,2.351,0,1.441,0,10.623,0,14.287,0,11.901,0,13.060,0,12.236,0,11.219,0,11.936,0,4.854,0,10.807,0,4.597,0,12.891,0,12.762,0,5.599
6ae5bfdb59ee35a61c595872d47f60d55a04efa7,0,2.318,0,1.436,0,10.404,0,14.308,0,11.929,0,13.008,0,12.182,0,11.321,0,12.449,0,5.001,0,11.799,0,4.763,0,13.432,0,13.178,0,5.760
b0a0f2252df3cbc942f3bd8bd59c5d7e162034db,0,2.329,0,1.448,0,10.599,0,13.830,0,11.924,0,13.058,0,12.175,0,11.207,0,12.405,0,4.920,0,11.826,0,4.784,0,13.404,0,13.181,0,5.751
a08b598ffb6d193a6a51ba5e4e87b1cc1504dab0,0,2.310,0,1.486,0,10.472,0,14.496,0,11.887,0,12.971,0,12.306,0,11.334,0,2.912,0,2.903,0,2.910,0,2.906,0,13.425,0,3.719,0,3.688
f37f89902393f7225d122e205d03110ccc5b7b75,0,2.305,0,1.478,0,10.328,0,13.947,0,11.858,0,13.721,0,12.236,0,11.332,0,12.627,0,6.476,0,11.909,0,6.168,0,14.003,0,14.199,0,7.318
573ddeed2685679376535ddea42eaa41f376292f,0,2.374,0,1.489,0,10.984,0,16.526,0,12.365,0,14.175,0,12.644,0,11.364,0,13.004,0,6.592,0,12.494,0,6.573,0,14.478,0,14.564,0,7.541
93f865dcab02a0950650f96ab19ed08e164febd3,0,2.378,0,1.473,0,11.314,0,16.653,0,12.292,0,13.530,0,12.620,0,11.883,0,12.935,0,5.027,0,12.468,0,4.836,0,13.833,0,13.909,0,5.797
4a710099c256328001890824ad486313af1e6133,0,2.373,0,1.472,0,10.971,0,16.610,0,12.303,0,13.531,0,12.261,0,11.868,0,12.970,0,4.969,0,12.543,0,4.789,0,13.815,0,13.814,0,5.842
19a16806adaae3aacae6941ef143ac4a44d7afef,0,2.360,0,1.487,0,10.796,0,15.689,0,12.510,0,14.028,0,12.589,0,11.707,0,13.025,0,6.519,0,12.400,0,6.496,0,13.792,0,14.485,0,7.533
dff59b934c4946e73cd6ef9e5661250698d4152f,0,2.845,0,1.477,0,10.835,0,15.089,0,12.301,0,13.557,0,12.545,0,11.612,0,15.290,0,15.330,0,14.259,0,14.283,0,13.838,0,15.524,0,15.588
0ae2846a8797fb81852f445784b6a32a5782910d,0,2.393,0,1.495,0,11.083,0,15.652,0,12.189,0,13.544,0,12.456,0,11.620,0,12.842,0,4.965,0,12.282,0,4.803,0,13.352,0,13.914,0,5.806
39697872f5300fc65a42136a642d2f648fb1f094,0,2.418,0,1.503,0,11.250,0,15.971,0,12.324,0,14.038,0,12.073,0,11.829,0,13.413,0,6.784,0,12.604,0,6.703,0,14.441,0,14.626,0,7.672
97b7d4caaca2364510a5c138de10d276aebf5f8e,0,2.409,0,1.498,0,11.290,0,15.416,0,12.412,0,13.657,0,12.598,0,11.807,0,9.631,0,5.008,0,9.106,0,4.786,0,13.891,0,9.757,0,5.760
0e05f97864a1099e2bb2386a7f117d32046b8193,0,2.417,0,1.498,0,10.789,0,15.946,0,12.465,0,13.674,0,12.670,0,11.787,0,5.540,0,4.986,0,5.350,0,4.753,0,13.420,0,6.216,0,5.709
a506edf3e93b84864553a8b0975524a6d1efa685,0,2.407,0,1.508,0,10.874,0,15.963,0,12.343,0,13.630,0,12.714,0,11.345,0,13.875,0,5.049,0,11.624,0,4.919,0,13.880,0,13.985,0,5.901
973a5509da5b8d13e4b2ddffa38c4cbb8b9bfe6d,0,2.444,0,1.492,0,10.858,0,15.950,0,12.332,0,13.560,0,12.667,0,11.895,0,13.874,0,5.091,0,11.289,0,4.920,0,13.458,0,13.935,0,5.913
9719f76ba9d45c2cb9e9def387f54da5e819facd,0,2.394,0,1.492,0,11.361,0,15.334,0,12.247,0,14.193,0,12.597,0,11.380,0,13.916,0,6.759,0,11.954,0,6.648,0,14.470,0,14.681,0,7.595
da93cf113292e3122e4dc18efcc7c027ce9762ae,0,2.433,0,1.525,0,11.378,0,15.745,0,12.348,0,14.118,0,12.597,0,11.887,0,14.143,0,6.675,0,11.803,0,6.580,0,14.004,0,14.633,0,7.596
