sha,download status,download time,test status,test time,mop status,mop time,track status,track time,gen status,gen time,imm status,imm time,imop-gen status,imop-gen time,imop-mop status,imop-mop time,gen+ps1c status,gen+ps1c time,gen+ps3cl status,gen+ps3cl time,mop+ps1c status,mop+ps1c time,mop+ps3cl status,mop+ps3cl time,imm+imop status,imm+imop time,imm+ps1c status,imm+ps1c time,imm+ps3cl status,imm+ps3cl time
750cff0f9d36e5b3de8ff12bb1e626a9cd29744c,0,6.493,0,1.784,0,4.485,0,6.958,0,6.103,0,6.464,0,6.371,0,4.664,0,8.258,0,8.908,0,7.191,0,7.177,0,6.625,0,9.110,0,9.264
17e3a3cb084d05bffad4ba137758f5a7c5e1a344,0,2.584,0,1.803,0,4.626,0,6.970,0,6.121,0,6.391,0,6.294,0,4.750,0,6.219,0,4.812,0,5.373,0,4.602,0,6.735,0,6.695,0,5.456
624a4e5130ce4882794d24096c4379080038161a,0,2.566,0,1.804,0,4.593,0,6.932,0,6.250,0,6.632,0,6.280,0,4.778,0,2.166,0,2.091,0,2.151,0,2.137,0,6.615,0,2.966,0,2.988
10dcc676c45be2511056f3017a866566d0493f34,0,2.590,0,1.793,0,4.564,0,6.887,0,6.205,0,6.426,0,6.345,0,4.668,0,4.755,0,4.069,0,4.245,0,3.875,0,6.647,0,5.597,0,4.863
2a9673cf1473ed5f0abf901df6ab79687bb62029,0,2.573,0,1.795,0,4.557,0,6.886,0,6.187,0,1.318,0,6.282,0,4.627,0,2.117,0,2.103,0,2.137,0,2.084,0,1.318,0,2.007,0,1.992
c7db8951af7ee2a62c2704152147291b50f3dd81,0,5.090,0,2.075,0,4.848,0,7.130,0,6.649,0,7.374,0,6.847,0,4.996,0,8.676,0,8.523,0,6.693,0,6.709,0,7.549,0,9.116,0,9.009
e9f6e7e1d3933f1199dcfeb0241ecfa69e428499,0,2.646,0,1.929,0,4.793,0,7.071,0,6.512,0,7.430,0,6.850,0,4.921,0,6.840,0,5.191,0,5.648,0,4.973,0,7.437,0,7.341,0,5.745
d88770afb46a82a546ad6b367749ffb1577abdc5,0,4.193,0,1.999,0,4.756,0,7.146,0,6.617,0,7.473,0,6.790,0,4.954,0,3.593,0,3.557,0,3.535,0,3.586,0,7.570,0,4.442,0,4.509
b49c0876df429ea827d4667aaea25c699c6b438c,0,2.700,0,1.980,0,4.834,0,7.161,0,6.598,0,1.687,0,6.821,0,5.003,0,2.356,0,2.345,0,2.321,0,2.385,0,1.648,0,2.234,0,2.240
784161e93a005e486638ca62158bf80d52578e7b,0,2.773,0,2.015,0,4.786,0,7.127,0,6.657,0,7.483,0,6.834,0,4.965,0,5.733,0,4.665,0,4.692,0,4.421,0,7.655,0,6.884,0,5.529
46e32d1ea5ce2d549751e0234c733fbb2c57cf4f,0,4.195,0,2.027,0,5.354,0,7.773,0,6.546,0,8.126,0,6.690,0,5.925,0,8.906,0,8.827,0,7.887,0,7.806,0,8.543,0,10.216,0,10.146
1f42a89db1be8ddf485d5bc82b13b7120bb9c8e9,0,2.748,0,2.035,0,5.523,0,7.832,0,6.560,0,8.338,0,6.865,0,5.825,0,6.667,0,5.353,0,5.872,0,5.139,0,8.660,0,7.667,0,6.195
6f55034600d3a71f903b50d30d520eb04243dd02,0,2.730,0,2.031,0,5.353,0,7.924,0,6.521,0,1.701,0,6.728,0,5.922,0,2.410,0,2.381,0,2.359,0,2.426,0,1.725,0,2.269,0,2.261
1ab18124a5779811c9b823a2d8a6b1f1ce3a62fb,0,3.987,0,2.109,0,5.587,0,7.929,0,6.694,0,7.910,0,6.822,0,5.901,0,9.117,0,8.653,0,7.740,0,7.705,0,8.436,0,9.906,0,9.899
959d0e8c142425e8ed0cdbf0f0ad14bb5ae9d451,0,2.761,0,2.109,0,5.456,0,7.849,0,6.733,0,8.121,0,6.796,0,6.040,0,6.673,0,5.129,0,5.905,0,4.918,0,8.276,0,7.416,0,5.759
2bfb48235051357aba6f969ea098f329af56b065,0,2.788,0,2.117,0,5.577,0,7.869,0,6.612,0,1.707,0,6.882,0,5.973,0,2.366,0,2.365,0,2.365,0,2.367,0,1.763,0,2.252,0,2.235
e0fa3877f460dc9bc8a8caab2dd408ec38d6b9ba,0,3.199,0,2.101,0,5.479,0,7.935,0,6.572,0,1.727,0,6.876,0,6.020,0,2.400,0,2.360,0,2.363,0,2.364,0,1.698,0,2.261,0,2.255
ba44c9aa4bd5f6543778fe5478d9bf6819f66ea1,0,2.791,0,2.112,0,5.553,0,7.834,0,6.621,0,2.189,0,6.855,0,6.036,0,2.992,0,2.986,0,2.989,0,2.971,0,2.166,0,2.743,0,2.715
eb77c8f13a09c7aeb5986dc45972c90ada1bb261,0,2.787,0,2.099,0,5.584,0,7.970,0,6.591,0,8.582,0,6.838,0,5.997,0,7.285,0,6.061,0,6.612,0,5.765,0,8.904,0,8.086,0,6.758
99599f28cc756cd13cb57a2f2e5654ab1412c2a2,0,2.845,0,2.146,0,5.783,0,8.982,0,6.930,0,8.948,0,7.381,0,6.191,0,8.014,0,6.292,0,7.170,0,6.114,0,9.071,0,8.672,0,7.053
0d871e8992a303c76b62e7ffd6b80cd498ef4c7a,0,2.836,0,2.254,0,5.896,0,9.035,0,6.813,0,8.848,0,7.236,0,6.188,0,7.969,0,6.466,0,7.081,0,5.972,0,9.240,0,8.789,0,6.882
266431467ce0b07ab9efba41bfb168836687b668,0,2.848,0,2.154,0,5.954,0,9.057,0,6.753,0,2.147,0,6.992,0,6.182,0,2.956,0,3.043,0,2.939,0,2.957,0,2.125,0,2.696,0,2.710
56043d1b0dc1ca0c5b204de57039b39fbf36e439,0,2.846,0,2.174,0,5.948,0,9.359,0,7.098,0,8.635,0,7.079,0,6.043,0,9.608,0,9.552,0,8.641,0,8.430,0,8.854,0,10.418,0,10.521
ebb65663f7566f444a0a51e7fb70dec5ff12d19b,0,2.810,0,2.145,0,5.763,0,8.789,0,6.961,0,8.823,0,7.089,0,6.132,0,7.097,0,5.939,0,6.524,0,5.761,0,9.075,0,8.090,0,6.677
dded1a29ff1ebcc18c1f360d1b51c5e81f140858,0,3.176,0,2.148,0,5.813,0,8.662,0,6.836,0,8.613,0,7.011,0,6.222,0,5.861,0,5.259,0,5.352,0,5.102,0,8.726,0,6.728,0,5.976
6f9a9e654969c5634c7ca216c2f11ccec6d2fe59,0,2.830,0,2.141,0,5.771,0,8.598,0,6.938,0,8.527,0,7.078,0,6.001,0,5.592,0,5.016,0,5.105,0,4.772,0,8.786,0,6.411,0,5.693
c2424e8335e521b9d00a66a4779e87b607ce59f5,0,2.876,0,2.159,0,5.943,0,9.143,0,6.802,0,9.075,0,7.115,0,6.228,0,7.952,0,6.264,0,7.072,0,6.010,0,9.084,0,8.677,0,12.027
b923c2c268330175bd2e1a329974b04f9751a149,0,2.843,0,2.164,0,5.938,0,9.121,0,6.855,0,8.613,0,7.038,0,6.244,0,7.769,0,6.230,0,7.095,0,6.039,0,8.861,0,8.365,0,6.727
c076d64f4b61bbe236ed4a2d2bf0aa2b7ec78022,0,2.846,0,2.151,0,5.866,0,8.941,0,6.888,0,8.287,0,7.130,0,6.101,0,7.582,0,6.230,0,6.859,0,5.951,0,8.925,0,8.403,0,6.682
3d604642fdfc43763f18d805ed474b697483cca6,0,2.909,0,2.172,0,5.891,0,9.030,0,6.271,0,8.617,0,6.427,0,5.751,0,5.172,0,5.065,0,5.122,0,4.822,0,8.457,0,5.946,0,5.728
70331920f228490f8f11b8a7e30c3ba7b13b60f0,0,2.838,0,2.145,0,5.872,0,8.912,0,6.321,0,8.640,0,6.476,0,6.202,0,5.682,0,5.067,0,4.953,0,4.902,0,8.470,0,6.410,0,5.774
211a43a304ecdbe62a108ef907b7b8ca6d594093,0,2.828,0,2.163,0,5.295,0,8.900,0,6.893,0,8.709,0,6.468,0,6.166,0,7.507,0,6.177,0,6.700,0,5.899,0,8.965,0,8.328,0,6.679
46d03c06ec711c02765477bae5f3d3db7f5e76e1,0,2.825,0,2.131,0,5.868,0,8.263,0,6.282,0,8.201,0,6.447,0,5.721,0,2.961,0,2.966,0,2.989,0,2.980,0,8.895,0,3.824,0,3.844
041cb79bbec423040aa6950ab0840b43b9c03d2b,0,2.857,0,2.160,0,5.239,0,8.168,0,6.807,0,8.124,0,7.230,0,6.243,0,7.867,0,6.268,0,6.775,0,6.009,0,8.273,0,8.405,0,6.720
42c6215ac67bb0e376a3dbde40f0189aa0d202b4,0,2.852,0,2.164,0,5.219,0,8.898,0,6.822,0,8.192,0,6.453,0,5.744,0,8.049,0,6.350,0,6.893,0,6.136,0,8.306,0,8.131,0,6.870
3404d4f63c5a8c92cb4b377b002bf3a7c569c30d,0,5.363,0,2.203,0,5.910,0,8.067,0,6.262,0,7.758,0,6.436,0,6.224,0,4.393,0,4.290,0,4.012,0,4.038,0,7.853,0,5.364,0,5.199
80805f172d302daa3d4598b3814058d0681c226c,0,2.836,0,2.168,0,5.854,0,8.895,0,6.882,0,1.726,0,7.123,0,5.776,0,2.456,0,2.415,0,2.412,0,2.439,0,1.712,0,2.282,0,2.316
80512a15568243c775a6076cff52f9d5d29bdd92,0,2.876,0,2.155,0,5.251,0,8.203,0,6.885,0,1.757,0,7.059,0,5.711,0,2.395,0,2.444,0,2.424,0,2.410,0,1.737,0,2.293,0,2.287
41f8ed76da75c3924768efc1fb4702926f633967,0,2.845,0,2.193,0,5.317,0,8.117,0,6.323,0,1.724,0,7.091,0,6.154,0,2.443,0,2.426,0,2.406,0,2.401,0,1.725,0,2.315,0,2.311
b32e3e7755e671c49fb0baf00eab373f6cb3bd15,0,4.294,0,3.644,0,42.782,0,133.143,0,111.301,0,106.506,0,107.292,0,42.926,0,104.197,0,132.570,0,39.479,0,42.263,0,104.792,0,102.635,0,133.173
b640341b48e780b7897381b2d396abf47bc9e694,0,4.333,0,3.668,0,42.330,0,134.823,0,110.635,0,105.365,0,122.840,0,43.554,0,2.398,0,2.425,0,2.402,0,2.415,0,108.125,0,3.337,0,3.287
103710758fafed6d049de90bb5fbb77f4643c7b2,0,5.276,0,3.703,0,43.279,0,145.101,0,105.351,0,137.501,0,111.963,0,47.607,0,109.746,0,122.027,0,42.447,0,42.162,0,104.047,0,101.799,0,101.662
a98db80762aab196920869f1da50780c0e6e98e5,0,5.990,0,3.606,0,45.196,0,122.689,0,105.665,0,96.677,0,111.509,0,43.170,0,2.311,0,2.323,0,2.329,0,2.340,0,137.616,0,3.211,0,3.204
01e0fb4528483b9477b6a8e65cbc1aa4728485fa,0,4.313,0,3.710,0,45.100,0,132.062,0,106.353,0,103.497,0,110.363,0,48.427,0,107.299,0,103.939,0,47.217,0,38.833,0,105.015,0,98.341,0,110.806
f1ef2b542bec0cd8a7562bf871cb89164d85766a,0,4.256,0,8.597,0,43.274,0,132.089,0,109.656,0,1.664,0,109.365,0,48.198,0,2.340,0,2.329,0,2.336,0,2.343,0,1.639,0,2.197,0,2.208
7ddb95a96d6afd6bcc9f5cb10999ee4ee4167dad,0,9.282,0,3.644,0,42.145,0,132.502,0,106.543,0,96.353,0,110.648,0,42.775,0,117.596,0,147.495,0,42.121,0,42.769,0,96.690,0,102.042,0,104.101
a74857eb0007696db511c863ed11d026790f885b,0,4.262,0,3.561,0,42.170,0,145.794,0,105.715,0,103.945,0,117.984,0,42.408,0,104.359,0,147.933,0,41.427,0,40.683,0,96.861,0,101.622,0,104.543
a892069c3e2684ed54beb019a5f598a7fcad6f44,0,5.817,0,3.613,0,44.594,0,133.234,0,111.170,0,98.546,0,109.677,0,48.392,0,114.102,0,101.592,0,41.347,0,39.504,0,108.406,0,106.762,0,136.624
1a9936b7b44f59f47f7d892acf7c2c8bb90fe07c,0,4.330,0,3.709,0,44.314,0,123.003,0,105.412,0,96.957,0,117.779,0,42.596,0,117.447,0,122.234,0,42.685,0,41.049,0,96.986,0,101.407,0,104.285
1e40e100b723877c77f5d2ddef99b0827165495b,0,4.340,0,3.692,0,42.070,0,132.446,0,107.542,0,96.504,0,124.097,0,43.210,0,104.158,0,147.619,0,45.310,0,41.567,0,104.109,0,105.952,0,105.441
