sha,download status,download time,test status,test time,mop status,mop time,gen status,gen time,imm status,imm time,imop-gen status,imop-gen time,imop-mop status,imop-mop time,gen+ps1c status,gen+ps1c time,gen+ps3cl status,gen+ps3cl time,mop+ps1c status,mop+ps1c time,mop+ps3cl status,mop+ps3cl time,imm+imop status,imm+imop time,imm+ps1c status,imm+ps1c time,imm+ps3cl status,imm+ps3cl time
23a5eb500d745671649413692927a3bd53f40d6b,0,9.522,0,4.183,0,51.287,0,56.217,0,56.496,0,56.215,0,56.494,0,58.171,0,58.755,0,58.555,0,58.248,0,57.901,0,60.141,0,58.796
49f0c652c90f55cecf83c35cc3c5e4a75f1eab96,0,4.834,0,4.261,0,51.454,0,56.032,0,58.134,0,56.758,0,56.274,0,49.225,0,28.252,0,51.777,0,32.840,0,58.763,0,52.404,0,31.308
1a0637b83360cb7bb776d1ea8d712bccd7394c34,0,4.666,0,3.996,0,51.534,0,55.367,0,45.711,0,56.466,0,56.350,0,47.309,0,7.684,0,51.884,0,7.229,0,46.352,0,39.540,0,8.849
5255a18519f80c2b62573eae9ed0226396be6a0d,0,4.807,0,4.075,0,51.449,0,55.676,0,49.029,0,56.048,0,56.554,0,48.874,0,27.486,0,51.236,0,31.949,0,50.313,0,42.258,0,23.754
340120da62b9798880b08e37be05a5ff3f4cf1ef,0,4.773,0,4.162,0,53.334,0,56.168,0,47.541,0,56.192,0,57.664,0,47.572,0,7.931,0,51.512,0,7.397,0,48.260,0,41.188,0,9.041
415d7f07c629af6550ac7f69b8858ee4d816420a,0,4.865,0,4.129,0,53.344,0,56.364,0,47.254,0,57.405,0,58.527,0,47.507,0,6.918,0,52.348,0,6.544,0,47.975,0,40.789,0,8.203
6018f2e767c09332a41e051b3c0ad3575e55e2cb,0,4.790,0,4.116,0,51.715,0,56.170,0,47.191,0,57.176,0,59.802,0,47.490,0,27.758,0,51.792,0,32.410,0,48.613,0,39.727,0,21.777
bb07bff82a55ed3c43224cda531cbea89f24172d,0,4.965,0,4.074,0,52.318,0,56.234,0,46.715,0,56.644,0,58.879,0,48.763,0,11.813,0,52.350,0,11.557,0,46.703,0,40.391,0,10.295
0d5988e3abe0bc439aa1e8e36f8f4a60f19324fc,0,7.234,0,6.435,0,66.819,0,94.723,0,88.595,0,94.621,0,74.561,0,86.990,0,58.304,0,66.769,0,37.097,0,85.772,0,80.275,0,51.798
f34311ad296eed3bf8a608f088cee6bec3bdc4de,0,5.415,0,4.695,0,58.497,0,64.463,0,55.575,0,65.101,0,65.186,0,56.266,0,7.847,0,58.542,0,7.704,0,55.775,0,49.199,0,9.139
4945b8930ea158c2fab5530dc112f137aa449b8b,0,5.344,0,4.641,0,59.225,0,65.697,0,55.010,0,64.124,0,65.493,0,56.268,0,32.718,0,59.183,0,33.988,0,55.170,0,48.375,0,23.878
7c6f918d8c1cdcb3749de1d9cf4c38d04de0bd23,0,5.449,0,4.653,0,59.068,0,64.625,0,55.548,0,65.041,0,65.501,0,56.417,0,7.732,0,58.709,0,7.789,0,55.912,0,46.996,0,9.171
6cdec8576639906c2c6e7836683c9a3c299cc806,0,5.467,0,4.687,0,58.597,0,64.488,0,55.416,0,65.430,0,64.914,0,55.684,0,8.956,0,59.153,0,8.706,0,56.134,0,47.550,0,10.328
1084ea87980a10c166789009f0d40ed450b6d4a3,0,5.418,0,4.804,0,58.721,0,64.172,0,54.475,0,64.710,0,66.334,0,55.596,0,7.859,0,59.695,0,7.691,0,55.676,0,47.541,0,9.073
32d3a84987ad3f10aa8ee81b1049b7336a7a9fb5,0,5.407,0,4.764,0,58.811,0,66.190,0,56.121,0,65.018,0,64.925,0,56.009,0,12.405,0,59.424,0,10.581,0,56.554,0,48.116,0,13.459
02e3f612372188e190b99059a3502f0387c5573b,0,5.389,0,4.777,0,58.553,0,64.605,0,54.982,0,64.539,0,64.684,0,20.522,0,6.476,0,19.853,0,6.384,0,55.317,0,22.643,0,7.754
6d0d908afa8fb0f22cee00a12660e1294f765198,0,5.455,0,4.749,0,58.189,0,64.016,0,55.307,0,65.409,0,64.185,0,55.474,0,32.304,0,58.526,0,33.563,0,55.740,0,48.188,0,23.807
32a698cab3faa991ccf475a282526cf88446d727,0,5.503,0,4.685,0,58.350,0,66.691,0,54.880,0,64.734,0,64.823,0,9.660,0,6.214,0,9.921,0,6.014,0,55.411,0,10.934,0,7.425
cd501671a056f6b7bc034bed7c28e6abf083e3c7,0,5.418,0,4.680,0,58.821,0,64.463,0,54.834,0,65.688,0,67.134,0,56.237,0,32.497,0,59.158,0,33.918,0,55.265,0,48.171,0,23.751
485b679782261f4f2c5e4a4017e1b368162fc4d2,0,5.365,0,4.684,0,58.764,0,63.670,0,54.635,0,67.179,0,67.521,0,1.490,0,1.480,0,1.520,0,1.486,0,55.559,0,2.627,0,2.582
c49236ab000c80149a8e7f08bccd27aa27b8a117,0,5.369,0,4.604,0,58.661,0,67.333,0,55.056,0,64.748,0,65.441,0,56.282,0,11.872,0,58.283,0,10.285,0,55.792,0,48.132,0,12.486
fed06a0c96a800983b9cdfed3c6fc9b808f7f49c,0,5.257,0,4.570,0,58.444,0,64.512,0,54.878,0,66.530,0,64.624,0,56.107,0,9.217,0,57.993,0,8.877,0,55.775,0,49.301,0,11.040
e4553e64598279d4b5ae011cf74306c14daa659c,0,5.198,0,4.606,0,58.778,0,64.069,0,54.683,0,64.833,0,65.344,0,18.302,0,6.726,0,17.660,0,6.822,0,54.869,0,19.883,0,7.993
1dc63ff505d08cb8ae6e207c5a8c06983e69e630,0,6.208,0,4.587,0,58.657,0,64.236,0,58.070,0,66.185,0,67.077,0,66.602,0,68.328,0,68.564,0,67.865,0,58.529,0,58.547,0,59.163
9983da48540c9ffe6c5ab0ad7b71ae2d920023cd,0,9.110,0,4.693,0,60.180,0,65.332,0,58.353,0,67.376,0,68.502,0,68.803,0,68.424,0,69.061,0,69.749,0,59.863,0,59.275,0,59.351
01e57bfd35c7bab366bf857f2844510b10b96f92,0,5.256,0,4.654,0,60.311,0,66.101,0,57.908,0,66.437,0,68.205,0,58.622,0,9.523,0,60.245,0,9.429,0,58.168,0,49.040,0,10.368
