sha,download status,download time,test status,test time,mop status,mop time,track status,track time,gen status,gen time,imm status,imm time,imop-gen status,imop-gen time,imop-mop status,imop-mop time,gen+ps1c status,gen+ps1c time,gen+ps3cl status,gen+ps3cl time,mop+ps1c status,mop+ps1c time,mop+ps3cl status,mop+ps3cl time,imm+imop status,imm+imop time,imm+ps1c status,imm+ps1c time,imm+ps3cl status,imm+ps3cl time
b41a5183635df4f1d9a2c3c30191d9f767194e09,0,20.750,0,17.184,0,30.216,0,47.678,0,35.606,0,35.713,0,35.578,0,32.596,0,38.524,0,38.977,0,36.768,0,35.816,0,36.336,0,39.170,0,39.698
b018d98ec79189473240c70550547db88c747f7c,0,18.215,0,16.843,0,29.838,0,46.899,0,35.182,0,28.449,0,35.964,0,32.396,0,27.773,0,26.161,0,25.056,0,24.894,0,29.977,0,25.814,0,26.475
2fdb5b3aaf4c85a0128146f46bda520a29456749,0,18.639,0,17.811,0,30.877,0,47.762,0,36.761,0,31.964,0,35.681,0,32.859,0,33.416,0,31.650,0,31.923,0,30.573,0,32.844,0,31.266,0,31.420
47ee1b62463fde1ce21e7ccccd07819bbdaf7245,0,18.797,0,17.745,0,31.371,0,47.332,0,34.967,0,29.078,0,37.293,0,33.196,0,33.616,0,31.524,0,32.041,0,31.651,0,29.666,0,28.720,0,28.689
71d6dedd38303e7a8315bd29abe18950223bfb51,0,18.362,0,17.356,0,30.388,0,47.421,0,35.578,0,31.779,0,34.539,0,32.324,0,33.029,0,32.127,0,31.339,0,30.437,0,32.398,0,31.456,0,32.431
6dc5db6334acb57ba3d0dc64296af66845a13dd1,0,17.693,0,17.596,0,30.284,0,48.678,0,35.153,0,29.163,0,35.676,0,32.751,0,27.669,0,26.367,0,27.069,0,26.144,0,29.785,0,25.990,0,26.299
bfb76e28beff5a2ac18f735815340aecb557e181,0,19.298,0,18.050,0,25.052,0,27.725,0,27.985,0,30.098,0,28.998,0,27.791,0,26.891,0,24.811,0,25.315,0,25.465,0,30.040,0,28.935,0,27.023
811ede4fd1e4e0935cee75b2233004042dd2cc57,0,18.839,0,17.872,0,24.606,0,27.157,0,28.744,0,29.662,0,28.660,0,26.713,0,27.495,0,25.194,0,25.959,0,26.015,0,29.261,0,28.245,0,26.930
bcc2e489d5b0d309271a7d89bc63a484db605090,0,18.825,0,17.718,0,25.840,0,27.928,0,28.230,0,28.667,0,28.902,0,26.120,0,20.397,0,20.613,0,20.144,0,19.838,0,29.270,0,21.710,0,20.737
5918892949d8490f317e49c0deae235d522c4a18,0,18.895,0,17.368,0,26.357,0,28.135,0,28.015,0,29.593,0,28.743,0,26.226,0,26.168,0,23.992,0,25.290,0,24.126,0,29.776,0,25.177,0,26.750
