sha,download status,download time,test status,test time,mop status,mop time,track status,track time,gen status,gen time,imm status,imm time,imop-gen status,imop-gen time,imop-mop status,imop-mop time,gen+ps1c status,gen+ps1c time,gen+ps3cl status,gen+ps3cl time,mop+ps1c status,mop+ps1c time,mop+ps3cl status,mop+ps3cl time,imm+imop status,imm+imop time,imm+ps1c status,imm+ps1c time,imm+ps3cl status,imm+ps3cl time
19d655811b9c513fd949d8d0e7c99fa195643ee2,0,14.973,0,11.446,0,133.164,0,1221.346,0,429.320,0,426.061,0,413.650,0,118.643,0,552.868,0,556.022,0,250.225,0,249.472,0,380.150,0,554.151,0,555.547
7f116e0a7454741269bee456f4e1b49163a35e17,0,12.938,0,11.348,0,117.189,0,1240.611,0,418.672,0,347.261,0,430.787,0,118.685,0,397.918,0,19.310,0,118.483,0,19.126,0,444.920,0,309.085,0,20.898
4d7fa1b397544725d01689330dd96cb4f76a6a05,0,12.988,0,11.393,0,132.076,0,1212.191,0,425.571,0,424.547,0,409.415,0,118.294,0,405.203,0,20.925,0,118.089,0,20.713,0,377.491,0,382.662,0,22.744
37404ec44e4790114ba827c8e2d5d93fbd6083a7,0,13.024,0,11.331,0,121.539,0,1264.048,0,378.490,0,428.424,0,377.459,0,120.144,0,348.700,0,329.793,0,130.994,0,133.621,0,433.744,0,427.245,0,422.615
85a4cb1331397c5d0a5605e0baf715519258ac0d,0,13.087,0,11.381,0,120.185,0,1190.942,0,412.427,0,387.510,0,401.742,0,120.360,0,418.992,0,20.700,0,122.762,0,20.389,0,429.531,0,373.082,0,21.984
cad5124f7deb5393eb4db0e97fac7a1634eeb00e,0,13.142,0,11.440,0,121.480,0,1250.731,0,414.837,0,439.746,0,407.811,0,122.421,0,346.125,0,20.120,0,122.894,0,19.971,0,390.993,0,372.135,0,21.119
38dc4236f0dea6b5b6d6731e9cc5308886e0babe,0,13.136,0,11.404,0,121.584,0,1192.235,0,414.112,0,425.609,0,395.787,0,120.884,0,398.260,0,26.167,0,122.576,0,25.213,0,390.568,0,435.692,0,29.577
d8a8412de5b10292206eb7741502b9d878c04c66,0,13.223,0,11.438,0,121.188,0,1233.743,0,419.503,0,423.295,0,404.155,0,120.815,0,16.342,0,15.642,0,16.290,0,15.917,0,431.795,0,17.042,0,16.472
7ccd3ebbc922d1f7041f6e7e4c4eaf6e5f42d8e7,0,13.278,0,11.430,0,120.250,0,1234.242,0,408.042,0,434.987,0,406.919,0,121.382,0,392.341,0,24.844,0,125.187,0,24.872,0,389.675,0,428.715,0,27.108
a3a698bc2e5710427e61a873f7aace67572d91cd,0,13.005,0,11.379,0,121.028,0,1223.518,0,418.023,0,419.870,0,381.364,0,120.782,0,413.548,0,20.384,0,123.075,0,20.158,0,388.305,0,396.037,0,21.282
