sha,download status,download time,test status,test time,mop status,mop time,track status,track time,gen status,gen time,imm status,imm time,imop-gen status,imop-gen time,imop-mop status,imop-mop time,gen+ps1c status,gen+ps1c time,gen+ps3cl status,gen+ps3cl time,mop+ps1c status,mop+ps1c time,mop+ps3cl status,mop+ps3cl time,imm+imop status,imm+imop time,imm+ps1c status,imm+ps1c time,imm+ps3cl status,imm+ps3cl time
0f575248883236a9c66119e78bbdc49e74bfdba2,0,3.934,0,1.506,0,6.261,0,8.894,0,8.073,0,9.404,0,8.503,0,6.844,0,11.038,0,11.055,0,9.425,0,9.482,0,9.556,0,11.591,0,11.635
f403aa4b8629812db3f2a74958094c6074a6fb07,0,2.060,0,1.502,0,6.328,0,8.964,0,8.319,0,9.269,0,8.504,0,6.694,0,2.292,0,2.268,0,2.259,0,2.262,0,9.488,0,2.510,0,2.502
4e169da8187928a78b9f52334370e95cee27b2cc,0,2.399,0,1.464,0,6.297,0,8.723,0,8.150,0,9.756,0,8.679,0,6.712,0,10.744,0,10.782,0,8.936,0,8.913,0,10.176,0,11.524,0,11.455
98374a1da25c2751b294ee65fc2deb7a7e92aaf2,0,2.017,0,1.493,0,6.348,0,8.839,0,8.294,0,10.161,0,8.876,0,6.747,0,8.427,0,7.744,0,6.704,0,4.830,0,10.364,0,9.368,0,8.580
0f9d2bece653d193296cffd940793674960de0d6,0,2.473,0,1.369,0,5.550,0,6.033,0,7.177,0,9.377,0,7.305,0,6.258,0,9.628,0,9.687,0,8.498,0,8.495,0,9.655,0,11.585,0,11.251
81d13994049456986a499a238a76e2ebb8cb0821,0,1.955,0,1.398,0,5.841,0,6.054,0,7.193,0,9.569,0,7.401,0,6.322,0,7.674,0,5.477,0,6.593,0,4.476,0,10.013,0,9.242,0,6.129
fa9348d55d983c1dab0e8dca3c2c95b3cfbe0e10,0,1.954,0,1.359,0,5.827,0,5.914,0,7.712,0,9.006,0,8.051,0,6.259,0,9.599,0,10.349,0,8.449,0,8.450,0,9.323,0,10.831,0,10.692
2128d6c7578c571f1861409c21e6aae2d7622596,0,1.973,0,1.386,0,6.304,0,6.609,0,8.213,0,9.408,0,8.507,0,6.586,0,8.042,0,5.839,0,6.948,0,4.885,0,9.644,0,8.631,0,6.163
579a98c6a7463fbafd21583970612b548124d508,0,2.005,0,1.431,0,6.655,0,7.151,0,8.470,0,9.814,0,8.762,0,6.841,0,8.328,0,5.896,0,7.187,0,4.971,0,10.075,0,10.005,0,6.797
e1af58640343ecbf8ebbfbb15053c6e356eed447,0,2.015,0,1.455,0,6.665,0,7.381,0,8.371,0,1.623,0,8.777,0,6.914,0,2.371,0,2.345,0,2.383,0,2.347,0,1.613,0,2.197,0,2.190
3c41f4e60d96eaee8acb2235cceafb0a6a4cb262,0,2.030,0,1.433,0,6.649,0,7.386,0,8.483,0,9.961,0,8.783,0,6.915,0,8.365,0,5.757,0,7.071,0,4.836,0,9.945,0,9.969,0,6.398
dcd15522663915903f3a538f201b14e76a03eb21,0,2.036,0,1.474,0,6.799,0,7.542,0,8.653,0,9.847,0,8.865,0,6.923,0,8.255,0,5.648,0,6.545,0,4.689,0,10.003,0,10.158,0,6.099
98a58450ffb1decab4c6dd07a814ce336a21b6fa,0,2.437,0,1.411,0,6.859,0,7.555,0,8.752,0,9.863,0,9.059,0,7.069,0,11.338,0,11.404,0,9.354,0,9.360,0,10.056,0,11.926,0,11.909
0dd5fb28e1b27a2b935bfde2df48e2fd55095e2a,0,2.427,0,1.420,0,6.803,0,7.394,0,8.834,0,10.073,0,9.106,0,7.025,0,11.360,0,11.238,0,9.132,0,9.132,0,10.388,0,11.864,0,11.924
376aa7df13adac30686086b27afc7e10be67cb59,0,2.047,0,1.418,0,6.829,0,7.405,0,8.666,0,10.041,0,9.191,0,7.038,0,8.309,0,4.106,0,6.569,0,3.819,0,10.295,0,10.228,0,4.951
f45cb0be5a7d6992931848c428e7e67d285b72bd,0,2.462,0,1.479,0,6.975,0,7.651,0,8.954,0,10.285,0,9.306,0,7.361,0,11.008,0,11.670,0,9.669,0,9.570,0,10.538,0,12.067,0,12.109
09f827e2656028f7c205cde9a4a06d4db8e3a8bc,0,2.047,0,1.481,0,6.987,0,7.670,0,8.964,0,10.124,0,9.409,0,7.340,0,2.398,0,2.410,0,2.420,0,2.388,0,10.461,0,3.247,0,3.195
8b4d0d4560f09ca405d8f4dc71f5a247f4760886,0,2.809,0,2.133,0,10.758,0,16.882,0,12.656,0,13.791,0,13.049,0,10.960,0,13.443,0,5.489,0,11.064,0,5.291,0,13.995,0,13.635,0,6.296
57822a00d4fd57d13e435f988206e513fcda9ec8,0,3.241,0,2.164,0,11.416,0,17.709,0,13.406,0,14.808,0,13.649,0,12.019,0,15.997,0,15.886,0,14.199,0,14.130,0,15.560,0,16.820,0,16.976
b75e47ab34067b1b2c01c25e4cf2ccf6cd91574a,0,2.828,0,2.162,0,11.338,0,17.965,0,13.545,0,14.959,0,13.448,0,12.036,0,13.861,0,5.055,0,11.546,0,4.762,0,15.016,0,14.741,0,5.900
56decce3d9cf9dec28aaf3299bd7c56e4ced982a,0,2.865,0,2.175,0,11.775,0,18.602,0,14.222,0,15.773,0,14.428,0,12.853,0,5.367,0,5.143,0,4.865,0,4.882,0,15.984,0,6.162,0,5.982
f8bdf1d22ee8d10a31cf607a0c35877297bdba69,0,2.859,0,2.173,0,11.629,0,18.448,0,14.779,0,15.585,0,14.930,0,12.464,0,14.343,0,9.319,0,12.051,0,8.615,0,16.247,0,14.990,0,9.952
0dbbfd79af9d8d1c80a8eb1917ce5c0b7ed46d10,0,2.925,0,2.215,0,11.733,0,17.601,0,14.915,0,16.069,0,15.256,0,12.599,0,14.139,0,9.170,0,12.152,0,8.677,0,15.962,0,15.381,0,10.051
7ca843ee4f199c58710d457f1ef84abc144c8024,0,5.775,0,4.567,0,256.162,0,6672.073,0,228.935,0,139.997,0,227.101,0,255.739,0,224.690,0,234.788,0,263.127,0,257.483,0,139.523,0,141.630,0,146.546
e156e7334838bc5f7e70031706a18a1f09b35e10,0,5.219,0,4.564,0,233.313,0,7154.108,0,226.731,0,29.463,0,229.320,0,255.219,0,2.603,0,2.592,0,2.625,0,2.593,0,29.471,0,3.450,0,3.427
368520fc90079650bbde482249366c2e276c6e41,0,5.701,0,4.544,0,229.619,0,6320.971,0,226.975,0,150.338,0,227.540,0,259.651,0,230.647,0,230.189,0,259.345,0,257.498,0,150.266,0,145.383,0,152.647
ba997d692558602e915039b71fabed2e5e7bc316,0,7.516,0,4.788,0,246.545,0,9717.450,0,242.146,0,33.851,0,242.393,0,273.070,0,247.462,0,245.077,0,277.032,0,274.803,0,33.715,0,33.028,0,25.597
b1ed3249d04322fc696e9d132f521050f89468fb,0,5.666,0,4.877,0,254.003,,,0,248.595,0,23.895,,,,,0,8.690,0,8.498,0,8.278,0,8.207,0,24.498,0,9.206,0,9.274
ab6e91f7a415aa787902649b5190be78c64cf6ef,0,6.243,0,5.580,0,348.276,,,0,334.990,0,193.103,,,,,0,330.221,0,158.798,0,374.543,0,196.952,0,183.533,0,182.517,0,164.452
63dd152ada8ce9580bfaba7ef97208cc26777309,0,6.334,0,5.609,0,349.610,,,0,333.624,0,26.003,,,,,0,9.593,0,9.342,0,9.083,0,9.036,0,26.672,0,10.239,0,10.082
addb53f3a9d1b417dc10d63d5c475220357aa9fb,0,6.314,0,5.534,0,349.667,,,0,335.404,0,30.165,,,,,0,2.714,0,2.703,0,2.748,0,2.637,0,30.677,0,3.519,0,3.513
77b617dc3da076645bfab6b5f92df721cacaca67,0,5.505,0,4.233,0,229.426,,,0,204.617,0,44.969,,,,,0,206.288,0,207.896,0,257.262,0,259.335,0,46.389,0,52.056,0,51.899
678686df0b8038ad58499f11ac1d889d524a1eb5,0,5.023,0,4.273,0,228.853,,,0,203.944,0,47.585,,,,,0,202.465,0,157.687,0,253.852,0,195.342,0,45.619,0,46.644,0,23.883
a4e364a94db0a662ef47b59a217b7653e2cf150a,0,5.016,0,4.242,0,241.799,,,0,203.923,0,46.101,,,,,0,203.017,0,158.264,0,252.953,0,195.516,0,45.174,0,45.928,0,24.302
5a2b9da9dfcdc9d59d54d66c7e50c5827aa46034,0,5.036,0,4.172,0,225.686,,,0,212.148,0,50.185,,,,,0,199.260,0,158.030,0,243.275,0,194.703,0,50.972,0,50.591,0,27.146
ed7973a4731b4a458ab779756728f08954a0a224,0,4.942,0,4.236,0,227.761,,,0,200.598,0,1.823,,,,,0,2.712,0,2.701,0,2.718,0,2.696,0,1.809,0,2.447,0,2.440
1df1e6aec1c28934126ea9517b392090036ff4ba,0,5.655,0,4.211,0,247.744,,,0,211.099,0,44.889,,,,,0,214.175,0,214.416,0,265.933,0,270.626,0,44.886,0,47.507,0,48.824
56d1a6a98fcd4e61c446282bccbeefe36a50c778,0,5.503,0,4.836,0,243.608,,,0,210.534,0,217.963,,,,,0,209.441,0,162.917,0,256.144,0,200.562,0,217.229,0,213.858,0,165.959
d28208beaff15c6c4922da8f35186162c8dc9ba6,0,5.519,0,4.815,0,245.443,,,0,212.670,0,42.802,,,,,0,208.206,0,66.882,0,254.872,0,94.393,0,42.762,0,41.336,0,9.450
