sha,download status,download time,test status,test time,mop status,mop time,gen status,gen time,imm status,imm time,gen+ps1c status,gen+ps1c time,gen+ps3cl status,gen+ps3cl time,mop+ps1c status,mop+ps1c time,mop+ps3cl status,mop+ps3cl time,imm+ps1c status,imm+ps1c time,imm+ps3cl status,imm+ps3cl time
6380ad58882c4726d7851e36bb326fc949f513b0,0,4.389,0,.713,0,2.036,0,2.881,0,3.137,0,4.385,0,4.393,0,3.522,0,3.599,0,4.482,0,4.457
10190c8f09e00adaceb4c12354291379f9e97a9a,0,1.175,0,.854,0,3.877,0,5.526,0,5.570,0,4.949,0,2.638,0,4.520,0,2.588,0,5.164,0,3.115
95d2a5016b68131bcd93bdd1bc89352a233c8265,0,1.050,0,.709,0,2.165,0,3.063,0,3.476,0,3.207,0,2.534,0,2.588,0,2.396,0,3.366,0,2.673
7476f34c6abdc5b747a63c05dbe5adc6ed441127,0,1.044,0,.738,0,2.291,0,3.139,0,3.262,0,3.108,0,2.324,0,2.548,0,2.253,0,3.615,0,2.845
4ec0fc55882ed3eb953dd0ff437771c99a4cc044,0,1.032,0,.730,0,2.201,0,3.112,0,3.270,0,1.159,0,1.192,0,1.236,0,1.180,0,1.667,0,1.712
aed95df483307498236b4d60fb6d18b5386c1a83,0,1.065,0,.712,0,2.301,0,3.131,0,.648,0,1.182,0,1.173,0,1.182,0,1.225,0,1.139,0,1.114
2b388b7614b6db872e84c0861dca3a605ba9d698,0,1.018,0,.703,0,2.229,0,3.044,0,3.179,0,3.127,0,2.254,0,2.697,0,2.182,0,3.592,0,2.831
d8b1c6e10d76cdd40a2fe331958a9848cfe30f99,0,1.576,0,1.245,0,18.551,0,23.688,0,24.200,0,24.880,0,25.150,0,21.130,0,21.167,0,25.651,0,25.478
3d987e74c27c834b316bd7183876018ac9e1d9f5,0,1.594,0,1.272,0,18.352,0,24.214,0,22.195,0,20.622,0,2.924,0,20.445,0,2.767,0,20.504,0,3.405
604ebc6a5aa0c0c5a38a8b2aaff6a63b798b420e,0,1.553,0,1.281,0,18.596,0,23.538,0,.663,0,1.175,0,1.160,0,1.179,0,1.164,0,1.115,0,1.121
7310e0c596df1916abe8696001316a079c9a9bde,0,1.682,0,1.398,0,18.874,0,23.782,0,24.630,0,21.094,0,19.097,0,21.437,0,19.909,0,21.102,0,19.164
b4856ec31bc78a9d026cecaaeb74e850223bd6a1,0,6.504,0,6.159,0,163.767,0,188.846,0,188.019,0,183.829,0,172.131,0,181.236,0,174.953,0,182.039,0,176.234
