sha,download status,download time,test status,test time,mop status,mop time,track status,track time,gen status,gen time,imm status,imm time,imop-gen status,imop-gen time,imop-mop status,imop-mop time,gen+ps1c status,gen+ps1c time,gen+ps3cl status,gen+ps3cl time,mop+ps1c status,mop+ps1c time,mop+ps3cl status,mop+ps3cl time,imm+imop status,imm+imop time,imm+ps1c status,imm+ps1c time,imm+ps3cl status,imm+ps3cl time
4840a41094d9d766882de3f94f8f66472f709a03,0,7.745,0,4.895,0,54.588,0,230.477,0,149.560,0,181.993,0,145.928,0,55.361,0,158.816,0,156.785,0,59.842,0,59.022,0,183.183,0,180.298,0,182.336
e27725f5235b692c7c66f99db83f5a724e865161,0,5.791,0,4.756,0,54.534,0,227.643,0,149.315,0,74.369,0,150.769,0,55.719,0,16.019,0,12.402,0,14.898,0,12.757,0,73.112,0,14.663,0,12.878
9f1d9e212a823a872bcbae1d5d59e125ea0a6d0e,0,5.447,0,4.618,0,52.407,0,231.774,0,119.348,0,72.302,0,125.877,0,52.921,0,136.516,0,13.485,0,52.635,0,13.409,0,72.315,0,79.890,0,14.411
ee90a41c09e571c6d552de26acbc0196d9f39864,0,5.646,0,4.798,0,52.220,0,227.450,0,137.663,0,70.761,0,125.852,0,52.896,0,11.900,0,10.071,0,11.678,0,10.397,0,71.718,0,12.648,0,10.909
792774f131b3be5453af9c59851da401609344f6,0,5.594,0,4.567,0,52.631,0,226.487,0,123.656,0,71.266,0,125.754,0,52.322,0,140.818,0,60.660,0,52.078,0,20.387,0,71.707,0,68.183,0,58.159
00e53aeb9a0b4ac072f8142de19b966a07b9bc43,0,5.694,0,4.721,0,52.468,0,234.384,0,124.018,0,71.380,0,125.953,0,52.964,0,8.021,0,7.979,0,7.776,0,7.705,0,71.874,0,9.149,0,8.855
6ae583f5f41511d8f1756f6c88b5c01db9c7229c,0,5.601,0,4.733,0,52.173,0,232.996,0,124.214,0,71.277,0,125.838,0,52.712,0,149.503,0,91.169,0,52.198,0,20.699,0,72.648,0,67.723,0,73.365
8915ec90b27b84e5eeec2ee0819e1e509eecc81e,0,5.589,0,4.579,0,52.889,0,234.069,0,138.624,0,71.014,0,125.811,0,53.152,0,146.485,0,11.738,0,54.307,0,12.223,0,71.698,0,77.826,0,12.455
8f26d181fa2369a8ecbd7140337fa7dc6c8bb271,0,5.448,0,4.647,0,52.767,0,233.405,0,127.657,0,71.066,0,125.807,0,53.007,0,158.973,0,10.894,0,51.710,0,11.427,0,71.513,0,68.303,0,12.028
eba7e035304672b138ca908b04f4659eb4dddf39,0,5.747,0,4.596,0,52.708,0,227.269,0,124.855,0,201.695,0,126.930,0,53.057,0,132.929,0,131.786,0,52.208,0,54.253,0,161.514,0,182.402,0,189.761
c3faf8a0575f5f6bee935b5ad17ba576212c7ddd,0,4.832,0,3.852,0,45.148,0,153.717,0,75.579,0,24.048,0,74.144,0,45.362,0,76.974,0,15.348,0,45.228,0,13.124,0,24.305,0,22.354,0,16.055
7faffaea90d3014947b40d03c8ed125b5ac81569,0,5.678,0,4.738,0,48.973,0,168.001,0,78.438,0,31.976,0,79.921,0,50.168,0,71.559,0,17.058,0,50.824,0,18.019,0,31.835,0,29.861,0,17.637
c92a566ca73f4c5ce2adce629980cc4ce412122e,0,5.516,0,4.759,0,49.705,0,169.953,0,77.590,0,32.762,0,79.546,0,50.332,0,79.947,0,18.433,0,51.017,0,18.294,0,33.170,0,30.967,0,18.694
e61771aadc77787f9469b36de8a5619b1e544de4,0,5.453,0,4.663,0,51.208,0,174.140,0,83.119,0,26.094,0,84.804,0,51.748,0,77.815,0,21.301,0,53.706,0,17.943,0,26.328,0,24.509,0,17.577
1dd867b358ade612eafbd8ec63d94050700dc10c,0,5.561,0,4.568,0,51.106,0,173.150,0,80.847,0,26.510,0,82.992,0,51.974,0,80.077,0,81.017,0,53.612,0,46.780,0,26.837,0,24.901,0,18.827
f90c53dd84f7033a2c3db9ffaecc628a712b8759,0,5.429,0,4.619,0,51.379,0,172.624,0,82.956,0,25.653,0,82.022,0,51.977,0,74.144,0,11.814,0,47.908,0,13.556,0,26.066,0,23.514,0,12.413
e1de3e526eca31d4116e1e8761d04225a0078b85,0,5.388,0,4.694,0,51.136,0,174.720,0,85.478,0,25.652,0,83.731,0,53.024,0,11.493,0,8.118,0,10.306,0,7.741,0,25.890,0,11.916,0,8.906
dbd4ad48fa043498b2f0b76756380d90ace25ba8,0,5.541,0,4.537,0,51.530,0,173.495,0,83.763,0,25.924,0,83.015,0,52.022,0,12.409,0,10.888,0,13.685,0,12.837,0,26.079,0,13.196,0,11.640
2d73dc4170a392e3e1f23866a36cf94ccb7dccf2,0,5.526,0,4.635,0,51.619,0,173.070,0,80.558,0,26.782,0,82.275,0,53.106,0,12.707,0,10.641,0,13.620,0,12.639,0,26.805,0,12.974,0,11.201
d478a1fb1937b683130d065dd464d80012656452,0,5.610,0,4.596,0,51.685,0,183.710,0,84.736,0,24.956,0,83.006,0,52.581,0,27.746,0,14.514,0,22.103,0,16.595,0,25.611,0,21.069,0,13.146
8c4af773e7dc48f9463102d62785c4b0816338e6,0,5.538,0,4.512,0,51.873,0,183.582,0,87.975,0,31.141,0,83.549,0,52.787,0,83.967,0,23.982,0,52.771,0,19.265,0,31.237,0,28.514,0,24.469
81e87fbcdf28a5b0445858b592c5dee20ba5793d,0,5.599,0,4.566,0,52.410,0,181.110,0,83.310,0,25.822,0,83.176,0,52.965,0,82.622,0,18.512,0,53.064,0,20.394,0,26.444,0,22.718,0,15.059
b68a2f8957f049f3bd11b66a79427825644f4092,0,5.927,0,5.052,0,55.597,0,195.543,0,87.631,0,33.275,0,89.318,0,57.186,0,86.065,0,18.936,0,56.645,0,20.577,0,33.497,0,30.677,0,20.570
b8f13bdfb8d011216022e791b401a0282c43ce5f,0,6.092,0,5.098,0,57.937,0,205.415,0,89.906,0,29.230,0,93.475,0,59.534,0,90.100,0,16.888,0,58.588,0,18.855,0,29.839,0,26.600,0,19.260
917ff58035641e1a780ebfefb71e9d3b2b4b79e4,0,5.990,0,5.086,0,57.862,0,201.989,0,90.295,0,28.000,0,95.154,0,59.530,0,80.842,0,16.676,0,58.271,0,18.483,0,28.332,0,24.883,0,17.007
6de808dd334a9dc001f979516937a697ad95046c,0,6.034,0,5.172,0,57.951,0,203.130,0,92.676,0,29.116,0,91.287,0,59.544,0,84.031,0,16.705,0,58.480,0,18.703,0,29.147,0,25.748,0,18.896
0b5d3cf9c80070db2914ddff27fbc4a65433ebb9,0,6.011,0,5.143,0,58.207,0,202.766,0,86.720,0,28.003,0,88.184,0,59.652,0,83.097,0,17.426,0,60.022,0,19.753,0,28.612,0,25.286,0,18.816
112282cfa1b7464aa9e78afd7618ff9901e655f7,0,6.070,0,5.150,0,58.273,0,203.452,0,92.163,0,29.533,0,89.952,0,60.300,0,16.797,0,12.338,0,17.760,0,14.033,0,29.829,0,18.428,0,12.767
9cfc842d218c9d9f5d81ec2f51941077dea0b2a0,0,5.991,0,5.113,0,58.920,0,198.865,0,88.097,0,38.846,0,92.392,0,60.371,0,85.335,0,25.110,0,60.129,0,27.333,0,39.358,0,37.209,0,28.112
1f545ef1cc2301da8cd905065e789e02247f34a0,0,6.159,0,5.224,0,60.064,0,203.792,0,91.307,0,32.653,0,91.336,0,61.260,0,82.665,0,19.834,0,61.621,0,21.502,0,34.318,0,27.288,0,20.663
57450960cae8a42839039864df1625403a442644,0,6.241,0,5.391,0,60.164,0,202.833,0,89.417,0,31.554,0,93.436,0,61.758,0,84.685,0,20.332,0,61.773,0,22.158,0,32.597,0,29.261,0,21.299
