project,number of methods,number of imm methods,number of imm with 1 spec,number of imm with < 5 specs,number of maximum specs an imm have,number of traces,number of unique traces,number of traces in imm,number of unique traces in imm,number of intra-procedural repeatedly monitored identical traces,number of inter-procedural repeatedly monitored identical traces,number of imm in CUT,number of imm in test,number of imm in LIB,methods with imm,methods imm no input
agarciadom-xeger,50,46,12,34,4,31569838,3374,26344790,1072,30656726,913112,4,4,38,23,19
albfernandez-javadbf,138,50,10,40,4,275168,542,274454,388,274890,0,24,26,0,26,16
almondtools-stringsearchalgorithms,376,312,88,190,8,142329162,9688,124484450,8270,142321672,5092,200,6,106,158,85
almson-almson-refcount,36,10,8,2,2,10000460,48,10000428,16,10000424,0,2,6,2,5,4
Antibrumm-jackson-antpathfilter,152,76,22,48,6,21260290,854,18649148,626,19729446,1530506,8,4,64,38,36
attoparser-attoparser,172,80,6,62,6,438233362,1978,418931286,1430,418931880,19301140,44,32,4,42,32
awslabs-route53-infima,82,42,4,30,9,14212184,1548,12626130,520,14201138,10158,24,14,4,22,16
cocolian-cocolian-nlp,272,160,42,102,8,50230726,57458,48734446,27330,49236638,993130,102,22,36,82,48
codelion-gramtest,144,48,8,36,7,51202216,2460,45808198,1912,50638182,563328,10,0,38,25,19
conveyal-osm-lib,416,186,98,88,4,33685790,7046,33684106,6436,33682434,1038,38,4,144,96,88
cowtowncoder-java-uuid-generator,64,50,6,44,3,41673176,240,41672898,210,41672882,252,16,34,0,25,24
dakusui-jcunit,770,232,64,130,8,273024908,15136,272881202,3802,272942556,75392,154,36,42,120,64
danieldk-dictomaton,306,176,68,86,6,85535066,27672,61882528,16764,77218516,8307816,80,96,0,93,69
davidmoten-bplustree,98,64,28,36,4,127054534,378,127047506,270,127048266,6166,24,28,12,33,28
davidmoten-rtree,698,308,38,238,6,66222286,5650,54576192,2640,64519708,1700472,56,18,234,159,147
davidmoten-rtree2,590,252,38,190,6,33010822,3622,25929670,2010,30962538,2047302,52,6,194,132,120
davidmoten-rtree-multi,602,248,40,186,6,39528258,76650,31110818,2786,36704032,2764178,48,2,198,131,116
dperezcabrera-jpoker,448,178,42,132,6,192344970,3428,192341920,726,192341942,96,12,42,124,89,82
eightbitjim-cassette-nibbler,178,140,32,106,7,378091284,90730,377980774,506,377996092,23128,122,18,0,71,27
f4b6a3-uuid-creator,150,138,58,80,3,1205892,404,1071052,380,1205868,24,32,106,0,69,56
finmath-finmath-lib,2420,1436,588,726,9,585123720,14068,561355170,10654,561435500,23684074,1028,360,48,721,609
flipkart-incubator-databuilderframework,316,166,50,96,6,103100352,2906,83435952,1732,90001732,13098086,40,34,92,90,75
fraunhoferfokus-Fuzzino,722,336,84,226,8,1007052,14002,934806,10404,966712,37372,214,122,0,178,116
fusion-jena-JaroWinklerSimilarity,86,36,6,22,7,274849478,22828,225039336,2898,236433968,38413964,26,10,0,19,15
ghaffarian-progex,558,376,32,278,10,40985778,75350,37511406,11374,39519688,1461530,296,0,80,190,155
Grundlefleck-ASM-NonClassloadingExtensions,458,226,42,168,6,64101658,83638,53449566,2608,59232756,4868292,2,2,222,116,116
hlavki-jlemmagen,54,28,4,22,6,2521132,4132,2464184,446,2508992,9272,24,2,2,14,10
houbb-sensitive-word,64,42,16,22,5,198818476,618,198813222,478,198816382,1964,36,0,6,25,13
huaban-jieba-analysis,32,16,2,12,6,37816950,2184,36403138,1018,37671772,144508,16,0,0,11,3
indeedeng-vowpal-wabbit-java,122,68,20,46,7,574962318,550,385404732,306,517991228,56970848,40,10,18,37,22
jahlborn-jackcess,1488,870,284,534,8,79479902,76388,35150322,8752,76849236,2600070,478,366,26,473,397
kapoorlabs-kiara,470,80,26,32,8,17400316,209462,17374454,208260,17275872,9820,76,0,4,44,36
lexburner-consistent-hash-algorithm,6,4,0,2,6,112200432,54,112200400,22,112200400,0,2,2,0,2,1
LiveRamp-HyperMinHash-java,18,12,0,10,5,66437832,144,66437832,144,66437832,0,10,2,0,6,3
lukfor-pgs-calc,710,460,112,320,7,110175356,15518,110099744,14668,110154198,12564,92,18,350,240,224
MezereonXP-AnomalyDetectTool,54,38,16,20,5,2646092,1356,2638974,692,2643978,1332,26,4,8,19,9
mimno-Mallet,682,324,68,248,6,125170768,2758,125146882,1986,125159670,10244,234,78,12,163,133
mocnik-science-geogrid,14,8,4,4,4,8001154,126,8001152,124,8001152,0,8,0,0,4,0
myui-btree4j,88,28,2,24,7,80722840,3092,80635872,810,80720502,16,16,12,0,16,11
octavian-h-time-series-math,440,242,12,210,6,2590440,1084816,2573788,1084238,1499244,9132,4,0,238,123,121
renfei-ik-analyzer,80,40,4,30,5,57634118,1844,57395254,1778,57395234,238800,14,2,24,20,20
romix-java-concurrent-hash-trie-map,82,12,8,4,3,649430,4584,588266,30,588662,56424,6,6,0,6,4
sbesada-java.math.expression.parser,42,28,6,22,4,656003744,270,656003612,138,656003602,0,28,0,0,14,2
solita-functional-utils,150,56,18,34,5,19792,1854,9224,1100,12720,5900,52,4,0,36,18
spullara-java-future-jdk8,108,14,0,14,3,1000266,242,1000056,32,1000056,0,2,12,0,7,6
StarlangSoftware-TurkishDeasciifier,102,68,22,44,5,3024792,10680,1995460,5966,2371264,651566,2,6,60,38,38
StarlangSoftware-TurkishMorphologicalDisambiguation,142,100,30,66,5,488002298,56550,451668250,13068,459287818,28713642,8,6,86,56,55
StarlangSoftware-TurkishPropBank,30,20,12,8,3,73845032,186,73844992,152,73844988,0,10,4,6,10,8
StarlangSoftware-TurkishSentiNet,14,8,0,4,5,126659342,62,126659320,40,126659320,0,6,0,2,4,2
StarlangSoftware-TurkishSpellChecker,154,112,16,86,7,49084180,55384,42954524,48518,44630564,4428240,44,6,62,63,49
Sweetiee-yi-Jaba,68,38,14,20,5,44264278,9938,34578988,8474,37340096,6921078,22,0,16,20,10
wiqer-ef-redis,58,14,4,10,2,80000342,154,80000160,36,80000156,72,2,4,8,8,7
zhoujianling-PointCloudUtilities,278,138,52,76,5,13514342,80900,13473296,79530,13474450,12480,126,10,2,74,15
jingpeicomp-id-generator,74,44,2,40,5,194289478,708,193889362,596,193888950,400008,30,12,2,22,5
palindromicity-simple-syslog,170,96,14,72,5,22340132,4922,19784688,4166,22281782,56558,12,6,78,50,45
graphstream-gs-core,500,162,44,106,7,13003834,1636,12997868,874,13001680,1460,138,24,0,89,48
jordw-heftydb,562,284,94,184,5,9974506,23312,8253520,14244,8955930,1005010,116,94,74,150,125
StarlangSoftware-TurkishMorphologicalAnalysis,308,112,20,84,9,94747586,45724,83496002,17636,89927874,4786486,86,14,12,63,46
houbb-segment,88,60,14,40,5,11827866,640,11826412,460,11827226,384,36,0,24,31,23
sangupta-bloomfilter,28,0,0,0,0,4000054,56,0,0,0,4000000,0,0,0,0,0
JetBrains-jetCheck,218,76,38,34,6,15843226,3384,5817662,1354,13481504,2360552,56,20,0,46,24
RokLenarcic-AhoCorasick,45,44,14,28,6,37722,2495,37722,2495,35798,0,14,30,0,44,12
alexec-docker-maven-plugin,69,25,10,12,5,17642,186,15722,131,16195,1409,0,0,25,27,27
aschoerk-converter-page,303,157,80,74,6,6615,1609,5944,1250,5727,283,74,0,83,162,107
bvolpato-inutils4j,34,10,1,9,4,134,82,87,39,81,4,9,0,1,11,4
delving-x3ml,365,198,76,108,6,1826171,6247,1329433,2238,1465795,357874,41,21,136,208,178
grpc-grpc-java-api-checker,116,53,22,29,9,63546,556,38241,178,48380,15033,3,8,42,61,59
hantsy-angularjs-springmvc-sample,276,98,77,21,3,19601,2003,4926,358,10842,7861,0,0,98,141,141
hermannpencole-nifi-config,181,45,9,33,7,3316,470,3010,261,2976,80,11,2,32,48,38
implydata-druid-example-extension,360,126,33,80,6,9598,1661,7899,983,8296,565,0,1,125,134,134
intive-FDV-DynamicJasper,2425,932,224,634,8,4194683,17988,3961612,9562,4044381,141907,170,40,722,953,822
jcabi-jcabi-jdbc,35,3,0,3,3,499,116,221,17,268,145,2,0,1,7,5
maihaoche-rocketmq-spring-boot-starter,613,298,71,201,6,44468,2141,40137,1360,41912,1977,4,1,293,304,302
mojohaus-license-maven-plugin,149,62,17,42,7,7165,548,6819,320,6811,122,29,2,31,66,43
mvp4g-mvp4g,371,122,23,85,7,48686,1841,38592,1057,46653,1161,88,27,7,129,120
nRo-DataFrame,240,126,30,90,7,62708,2472,51924,1658,58470,3112,81,7,38,129,74
pebbleblog-pebble,250,100,27,64,8,50427,591,49783,398,49935,273,81,3,16,100,55
remondis-it-pact-consumer-builder,416,231,42,174,7,34070,2589,31845,2105,32376,967,6,2,223,236,234
spring-projects-spring-session-data-mongodb,910,327,76,230,6,385107,3843,367424,2813,374311,9681,4,1,322,336,335
streamx-co-FluentJPA,142,42,22,19,5,54920,1364,8563,194,23336,30866,20,0,22,60,56
vs49688-RAFTools,87,30,14,16,3,2140,272,787,92,1181,906,0,0,30,37,37
webbit-webbit,425,178,20,140,8,27460,1703,25135,1285,26182,799,28,10,140,185,158
AdamBien-jwtenizr,70,15,2,12,5,3860,195,3807,153,3803,12,2,0,13,15,13
AdamBien-xplr,17,8,2,6,3,608,63,573,28,573,0,7,1,0,8,4
AlanDelip-SpringBoot-Template,240,103,74,29,4,14560,1126,3645,217,7550,6735,1,0,102,133,132
AshisRaj-cucelastic-maven-plugin,391,188,24,147,6,178027,2573,170373,2051,172922,4454,11,3,174,190,189
AuthorizeNet-sdk-java,101,37,4,29,6,3178,370,2976,190,2933,22,0,4,33,38,36
Azure-azure-functions-java-worker,788,204,60,131,6,348510,6908,310774,2416,330455,13137,12,0,192,210,205
Bandwidth-java-bandwidth,303,48,27,17,5,9325,766,7154,323,7138,1727,24,1,23,51,30
BarcodeAPI-server,211,101,32,66,5,33480,1041,26434,443,30601,2498,10,2,89,104,101
CarmJos-AliDDNS-Updater,51,18,5,10,7,4628,500,2214,142,2456,2043,0,0,18,19,19
CeON-spark-utils,146,40,16,22,6,3945,420,3678,184,3665,25,1,0,39,41,41
CiscoDevNet-stealthwatch-data-exporter,41,17,3,13,5,1334,139,1303,108,1285,0,7,0,10,17,14
CubeEngine-Dirigent,44,23,8,14,6,3635,253,3381,186,3482,62,21,2,0,26,25
CurrencyCloud-currencycloud-java,777,400,112,250,7,1579982,17109,1357792,7442,1458840,115242,13,23,364,418,408
Doccrazy-keycloak-protocol-cas,134,53,16,32,6,2384,404,1669,237,1829,364,4,0,49,58,56
ECharts-Java-ECharts-Java,127,52,18,30,7,57624,1753,56970,1441,56595,210,8,0,44,52,49
EXIficient-exificient-core,132,14,9,5,3,11992,402,11353,64,11547,166,14,0,0,22,17
ExpediaGroup-avro-compatibility,57,21,6,15,4,6831,160,4962,114,5458,1325,3,0,18,21,21
Flying9001-pay,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
Gikkman-Java-Twirk,110,14,2,12,4,902,169,843,110,805,0,11,3,0,14,7
Graylog2-gelfclient,317,124,21,94,6,133565,1560,126868,1178,129334,3771,6,1,117,127,124
Guo-xm-mybatis-expand,49,22,7,14,6,105021,191,104726,138,104962,8,0,0,22,23,23
HarvardPL-AbcDatalog,141,87,15,64,6,146487,2279,130797,1901,142790,3405,80,7,0,90,46
HebiRobotics-HebiCam,1,1,1,0,1,3,1,3,1,3,0,1,0,0,1,0
Ingenico-ePayments-connect-sdk-java,293,126,39,74,5,8801,1059,7232,725,7698,673,38,16,72,132,112
IvanTrendafilov-Confucius,42,24,11,10,7,2735,415,2198,183,2235,262,19,4,1,24,7
JanGorman-jersey-passbook,8,2,0,2,2,24,20,10,6,8,0,1,0,1,2,1
JodaOrg-joda-collect,80,37,24,13,4,1886,268,711,88,1202,581,25,9,3,42,26
JodaOrg-joda-time,418,150,55,89,5,23320,1459,16156,642,20405,2299,137,12,1,164,54
KevinStern-software-and-algorithms,89,27,14,13,4,10209,818,9574,183,9525,0,16,11,0,27,21
Kuangcp-NettyBook2,2,1,0,1,3,4000012,16,4000000,4,4000000,0,0,1,0,1,1
Kurento-kurento-module-creator,172,107,29,65,7,185162,1469,183211,988,183562,1111,69,3,35,112,91
LatencyUtils-LatencyUtils,20,9,3,6,4,321,127,209,36,204,23,6,2,1,9,8
MarkShen1992-Mashibing_High_Concurrency,5,1,0,1,2,12,10,4,2,4,0,1,0,0,1,1
MieskeB-json-api-spring-boot,26,13,4,9,3,22003,159,18292,99,20155,1801,6,1,6,13,7
MottoX-TAOMP,7,4,2,2,4,1700035,17,850030,9,1700030,0,0,4,0,4,2
NTTDATA-EMEA-QAT-cherry,207,106,6,96,6,13079,918,12917,820,12779,51,3,0,103,106,104
NawaMan-NullableJ,12,5,0,5,2,59,27,42,10,42,0,0,5,0,5,4
NightFlightCaptain-ssm,2,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0
NishkarshRaj-Maven-Using-CMD,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
Nordstrom-nifi_terraform_generator,63,39,9,23,5,3202,513,2589,323,2890,46,30,7,2,41,30
OWASP-json-sanitizer,21,4,1,2,5,62899,12716,23955,108,29236,22424,3,1,0,8,4
OnlineCodex-OnlineCodex,190,79,20,57,5,457749,38881,340508,516,367986,62966,2,10,67,84,79
OpenLiberty-ci.common,161,62,8,46,7,3538,542,3300,333,3238,23,49,7,6,62,30
Pablissimo-SonarTsPlugin,370,177,30,132,6,395513,3085,389946,2351,390681,3786,17,6,154,179,161
PawelGorny-lostword,57,22,6,15,5,45980,117,44678,79,44673,1265,11,0,11,23,19
PureMVC-puremvc-java-standard-framework,7,0,0,0,0,30,15,0,0,16,0,0,0,0,1,1
RTBHOUSE-avro-fastserde,259,71,20,50,5,56174,1750,50090,852,50842,4720,23,8,40,73,59
RagedUnicorn-github-release-maven-plugin,225,107,40,64,5,31166,3283,20176,644,22581,5959,0,0,107,113,113
RakhmedovRS-DataStructuresAndAlgorithmsInJava2ndEdition,77,30,14,16,2,4987,189,4919,126,4890,6,21,9,0,31,28
RayDeCampo-java-xirr,190,85,5,73,6,14982,858,14199,665,14339,397,2,0,83,87,87
RetailMeNot-TestRailSDK,143,55,21,33,5,42549,990,30746,561,35846,6546,0,2,53,58,56
Sayi-swagger-diff,305,195,37,121,8,182563,3293,156157,2433,168138,13420,42,3,150,198,169
Scout24-illegal-transitive-dependency-check,53,25,6,15,7,4551,176,4469,105,4459,5,22,1,2,25,7
Scout24-spring-boot-rpm-maven-plugin,90,40,10,26,7,100523,436,95543,265,97861,2483,1,1,38,40,40
SiftScience-kafka-assigner,27,14,2,10,6,1229,202,705,101,865,298,10,1,3,16,13
SimpleAstronomy-simple-astronomy-lib,5,3,0,3,4,120171,20,120166,15,120166,0,1,2,0,3,2
SimpleFinance-kafka-dropwizard-reporter,29,1,0,1,2,104,62,44,2,44,0,0,0,1,1,1
Sonal0409-DevOpsCodeDemo,20,5,1,4,2,108,46,60,9,77,0,2,0,3,5,4
ThinkingDataAnalytics-java-sdk,70,24,3,19,7,2816,275,2571,145,2589,82,4,13,7,26,23
ThoughtWire-hazelcast-locks,388,188,43,131,8,63464,3714,53928,668,56721,4252,12,0,176,189,186
TiBeN-ia-rcade,62,30,5,16,6,3627,282,3592,247,3530,0,19,0,11,30,29
Trigary-AdvancementCreator,25,8,3,5,2,3626,61,3512,30,3564,40,0,0,8,10,10
Tsovak-selenium-wrapper-framework,102,21,16,5,3,7976,473,2031,66,2491,5187,1,0,20,32,31
XUranus-lightsocks-java,22,5,2,3,2,2039,31,2016,8,2016,0,0,1,4,5,5
Yubico-yubico-j,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
adobe-htl-tck,27,14,5,8,5,420,71,283,41,322,75,0,1,13,17,17
aehrc-ontology-core,219,92,36,45,8,6327,1040,5544,716,5542,251,13,0,79,93,85
agoncal-agoncal-application-petstore-ee7,223,121,29,80,6,126841,1282,119560,1141,121755,4853,0,0,121,124,124
aled-jsi,108,35,13,21,6,581977,1280,578671,1173,578441,2609,11,1,23,37,32
alipay-ams-java-sdk,114,21,8,7,7,3219,231,3102,131,3119,0,6,2,13,21,21
aliyun-aliyun-log-logback-appender,167,39,13,26,4,2510,551,1918,137,1984,133,1,0,38,40,40
amazon-archives-amazon-kinesis-connectors,317,145,33,98,6,27077,1417,16315,775,23558,3085,7,3,135,156,151
antlr-antlrworks,66,27,7,19,6,5094,929,4622,691,4493,60,27,0,0,28,17
apache-dubbo-rpc-jsonrpc,189,84,35,43,8,9885,625,9065,483,9075,618,2,2,80,85,83
apache-maven-ear-plugin,1,1,1,0,1,12,4,12,4,10,0,0,0,1,1,1
apache-maven-shared-utils,43,18,6,12,3,1009,185,865,129,865,100,0,2,16,18,18
apache-sling-org-apache-sling-feature,508,230,31,164,10,112917,4207,101447,2416,107248,4019,70,7,153,236,194
apache-sling-org-apache-sling-query,121,50,19,28,5,247381,1138,212920,447,234107,12949,37,9,4,57,35
aseldawy-spatialhadoop2,756,363,93,245,9,3787845,4716,3543107,3381,3545778,240334,92,16,255,366,329
ashenwgt-awesome-bdd-with-cucumber,236,96,30,62,6,22430,1084,15873,502,19747,2119,1,2,93,98,98
augustd-burp-suite-jsonpath,11,2,0,2,4,487,75,436,24,432,0,2,0,0,2,1
awslabs-amazon-sns-java-extended-client-lib,267,135,10,114,6,667606,1563,637760,1331,649487,17828,2,1,132,139,137
baswerc-routes,116,26,9,15,7,3294,362,3155,223,3111,0,21,1,4,26,25
bazaarvoice-jsonpps,56,32,15,16,5,1901,262,1281,164,1470,409,1,0,31,33,32
bernardosulzbach-dungeon,184,69,24,42,8,10618,1411,10115,1147,9387,247,62,2,5,70,20
berndporr-iirj,37,22,0,22,2,514896,164,514826,94,514780,0,0,22,0,22,19
bgandon-juli-to-slf4j,7,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0
binance-binance-futures-connector-java,410,83,35,47,5,47668,2641,31879,307,35112,11056,8,1,74,91,84
binghe001-mykit-holiday,49,22,2,20,3,2114,133,2083,102,2061,0,3,0,19,22,20
bkatwal-kafka-solr-sink-connector,47,9,1,7,7,183,122,70,27,82,20,0,0,9,9,9
blueapron-kafka-connect-protobuf-converter,86,45,14,21,6,5982,500,5833,432,5754,76,6,4,35,46,41
bluemix-NumberToArabicWords,8,3,0,2,5,147,33,138,24,136,0,2,1,0,3,0
bmatthews68-ldapunit,141,81,28,50,6,68087,1342,52858,589,55422,12402,3,6,72,84,81
bpsm-edn-java,70,41,13,26,5,37104,432,30979,296,31825,5161,34,7,0,41,16
braintree-braintree_java,428,185,22,139,8,195447,3087,148618,2421,170167,24496,48,2,135,191,163
brutusin-instrumentation,20,14,5,8,5,316,81,302,67,302,0,6,1,7,14,13
c0ny1-captcha-killer,11,9,5,4,4,158,62,141,45,125,0,2,0,7,9,7
carlostse-jopencc,4,3,0,3,3,40,23,28,11,24,0,3,0,0,3,1
cbartosiak-bson-codecs-jsr310,13,6,4,2,2,3518,11,3518,11,3518,0,2,3,1,6,3
cellsrg-tabbypdf,7,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0
chenhaiyangs-mybatis-encrypt-plugin,23,4,2,2,2,48,31,23,6,23,0,0,0,4,4,4
chenjianjx-swagger2html,334,172,51,95,7,72275,3442,68774,2505,69194,1538,9,3,160,180,176
cimiano-tbx2rdf,140,73,23,49,5,42580,545,36795,390,41685,728,40,1,32,80,59
code4craft-xsoup,75,30,8,20,5,3299,257,2885,177,3087,148,20,1,9,32,24
codeine-cd-codeine,135,41,11,26,6,1081,368,775,190,810,71,28,2,11,44,30
coekie-gentyref,18,8,2,6,4,775,54,747,39,743,15,8,0,0,8,6
coldnew-twse-captcha-solver-java,16,6,0,2,7,3293,138,2994,96,3049,198,0,0,6,6,6
confluentinc-castle,181,83,26,48,6,7340,1361,5700,855,6202,603,21,1,61,85,77
confluentinc-kafka-connect-datagen,201,90,23,62,7,7585350,11240,5028507,1804,5143335,2440064,4,3,83,98,95
coralblocks-CoralME,232,93,5,79,6,10208,1087,9455,844,9482,342,3,0,90,96,96
cowtowncoder-low-gc-membuffers,30,26,13,13,3,584,72,576,64,576,0,6,20,0,26,23
crossoverJie-distributed-redis-tool,45,8,6,2,3,487,106,128,16,209,232,3,0,5,15,13
crossoverJie-leetcode,6,4,0,3,7,128,32,120,24,113,0,4,0,0,4,3
cutecharts-cutecharts.java,187,84,2,75,6,39564,861,37539,673,38180,1138,0,0,84,87,87
cyberborean-rdfbeans,217,96,21,64,7,64445,1306,55307,681,58968,4948,20,4,72,99,85
dadiyang-equator,10,6,1,5,4,319,46,303,30,303,0,4,2,0,6,2
daimuuc-CampusLife-SSM-,593,225,50,157,9,40488,2132,36819,1515,38923,615,0,14,211,230,230
damienclaveau-kafka-graphite,57,16,3,13,4,592,247,338,42,379,11,2,1,13,17,15
dart-maven-plugin-dart-maven-plugin,36,7,2,5,3,245,75,196,27,187,2,0,0,7,7,7
davidmoten-aws-maven-plugin,39,5,1,3,5,235,75,196,39,182,5,0,0,5,5,5
davidmoten-predict4java,30,7,3,4,3,2428,98,2266,27,2337,39,5,1,1,9,9
davidmoten-rxjava2-file,34,13,6,7,3,389,60,358,33,349,6,3,4,6,13,13
dbaggott-newrelic-dropwizard,307,123,45,76,7,74511,1207,50431,670,57428,16578,7,0,116,127,122
demidenko05-beigesoft-webstore,4,2,0,2,4,45,30,30,15,28,0,1,1,0,2,2
devopshydclub-vprofile-project,154,78,55,23,4,22619,882,5049,165,14101,8201,1,1,76,108,108
digital-preservation-utf8-validator,3,2,1,0,6,142,22,124,21,124,18,2,0,0,2,1
dingjs-javaagent,12,3,2,1,2,38,23,22,7,19,0,2,1,0,3,2
dizitart-jbus,325,163,17,132,6,175518,1822,120972,1313,167799,7123,16,2,145,168,159
dmak-jaxb-xew-plugin,412,183,20,150,6,328604,3063,286986,2013,306380,21142,0,1,182,190,190
dmitry-zhuravlev-jooq-postgis-spatial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dnsjava-dnsjava,1282,596,120,430,8,2170058,20974,1873736,6583,2081175,76463,224,41,331,608,461
dropwizard-dropwizard-elasticsearch,1117,483,97,356,7,145877,4744,125730,3148,136625,8341,0,0,483,503,503
dubasdey-portable-ftp-server,48,8,4,4,2,974,109,876,12,876,2,1,0,7,8,7
edgexfoundry-support-rulesengine,213,77,21,52,6,23976,475,22394,331,23044,772,3,7,67,79,78
elasql-elasql,12,1,1,0,1,43,41,4,2,4,0,1,0,0,1,0
eolinker-sql2dsl,65,32,7,24,5,4253,263,4028,202,4127,40,2,0,30,32,31
esamson-logback-luhn-mask,206,97,2,85,6,11996,934,11257,732,11289,372,1,0,96,99,98
etsy-statsd-jvm-profiler,307,88,28,55,5,3059,618,2440,283,2556,173,8,2,78,92,85
eurekaclinical-datastore,198,63,11,44,8,5510,801,4881,446,4924,148,1,0,62,64,64
fabric8io-docker-maven-plugin,1512,556,96,414,7,1826498,31007,1633898,8672,1736487,66781,201,42,313,581,418
fasseg-exp4j,37,13,4,7,8,206799,225,206779,205,206700,0,12,1,0,13,9
francisdb-serviceloader-maven-plugin,11,9,3,5,8,1120,90,1076,69,1089,6,4,0,5,9,8
fzakaria-ascii85,2,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0
g4dpz-predict4java,26,6,2,4,3,1378,51,1315,17,1343,7,5,0,1,8,7
