project,mop,lazy,trace,mop (GB),lazy (GB),trace (GB)
hlavki-jlemmagen,2403264,3157936,5240984,2.403264,3.157936,5.240984
albfernandez-javadbf,4413264,4511052,2849356,4.413264,4.511052,2.849356
spullara-java-future-jdk8,4452692,4531632,21629808,4.452692,4.531632,21.629808
almson-almson-refcount,7335556,6975812,8686176,7.335556,6.975812,8.686176
StarlangSoftware-TurkishDeasciifier,6553720,10402824,15295656,6.55372,10.402824,15.295656
solita-functional-utils,4537616,10783364,10244756,4.537616,10.783364,10.244756
StarlangSoftware-TurkishPropBank,8529880,11103912,31543588,8.52988,11.103912,31.543588
lexburner-consistent-hash-algorithm,11322256,12861020,58585580,11.322256,12.86102,58.58558
awslabs-route53-infima,7889168,13005032,17580664,7.889168,13.005032,17.580664
agarciadom-xeger,10272240,13533372,29100548,10.27224,13.533372,29.100548
Antibrumm-jackson-antpathfilter,9526216,13613860,22826956,9.526216,13.61386,22.826956
davidmoten-bplustree,10452108,14395920,53991640,10.452108,14.39592,53.99164
StarlangSoftware-TurkishSentiNet,8215668,15225888,51774176,8.215668,15.225888,51.774176
fraunhoferfokus-Fuzzino,12701020,16771680,36553700,12.70102,16.77168,36.5537
wiqer-ef-redis,14902900,17926484,38162516,14.9029,17.926484,38.162516
cowtowncoder-java-uuid-generator,7147604,19099708,33356320,7.147604,19.099708,33.35632
MezereonXP-AnomalyDetectTool,10173428,19589468,45092956,10.173428,19.589468,45.092956
ghaffarian-progex,16384608,21014404,42011820,16.384608,21.014404,42.01182
davidmoten-rtree2,13181844,21488808,36023804,13.181844,21.488808,36.023804
codelion-gramtest,10000248,21822600,50689148,10.000248,21.8226,50.689148
huaban-jieba-analysis,14072624,21956928,35438808,14.072624,21.956928,35.438808
dperezcabrera-jpoker,17164748,22168092,79970592,17.164748,22.168092,79.970592
mimno-Mallet,20006904,22893980,47509808,20.006904,22.89398,47.509808
myui-btree4j,13029928,23408660,42208504,13.029928,23.40866,42.208504
Sweetiee-yi-Jaba,14611132,25075716,44599172,14.611132,25.075716,44.599172
renfei-ik-analyzer,16276896,25589068,43293576,16.276896,25.589068,43.293576
mocnik-science-geogrid,7806452,26417848,31394084,7.806452,26.417848,31.394084
romix-java-concurrent-hash-trie-map,3902580,28441308,46656752,3.90258,28.441308,46.656752
Grundlefleck-ASM-NonClassloadingExtensions,12241176,28624456,42005692,12.241176,28.624456,42.005692
davidmoten-rtree-multi,17365216,30606104,46704164,17.365216,30.606104,46.704164
