project,num_of_tests,test_time,rv abs,rv rel,sloc,branch,line,num_of_commits,first_commit_timestamp,stars,complexity,strength,unique
AAA-AA/basic-tools,18,18.865,1.271084018,5.114,6239,16.2,6.2,73,6,67,70,100,100
aelstad/keccakj,40,62.849,1.263106812,16.536,3614,64.1,76.9,45,11,18,85,78,100
agarciadom/xeger,4,2.81,13.79145907,35.944,204,50,74.1,41,12,89,28,53,99.99
albfernandez/itext2,303,4.225,13.40260355,52.401,100367,36.6,45.7,258,9,30,742,35,99.38
albfernandez/javadbf,154,6.897,5.119472234,28.412,7286,73.9,80.7,495,22,215,122,0,99.8
almondtools/stringsearchalgorithms,223,6.995,26.71107934,179.849,10355,92.2,94.7,250,10,42,127,86,99.99
almson/almson-refcount,5,10.15,6.391724138,54.726,677,27,52.3,19,7,17,35,65,100
andylamp/BPlusTree,5,230.833,1.112314964,25.926,3233,58.5,59.2,54,10,152,299,100,99.98
Ant-Grand/Grand,91,3.828,10.53108673,36.485,4658,78.2,78.3,477,21,39,57,73,99.95
Antibrumm/jackson-antpathfilter,11,2.072,55.16795367,112.236,1067,31,45.2,46,10,64,95,73,100
apache/commons-codec,1699,20.029,1.914873434,18.324,23976,92.7,94.5,2604,22,436,250,0,99.47
apache/commons-compress,2708,34.621,5.254845325,147.307,72097,75.3,86.8,4860,22,305,416,50,99.57
apache/commons-imaging,1050,27.291,6.911142868,161.321,42027,64.5,77.7,2412,18,396,235,0,99.98
apache/commons-jxpath,411,2.85,7.904561404,19.678,26305,68.1,77.5,859,24,28,1348,87,99.62
apache/dubbo-hessian-lite,66,2.342,9.515371477,19.943,14063,25.3,31.4,2458,14,48,1560,80,99.91
apache/sling-org-apache-sling-scripting-sightly,67,2.778,21.97264219,58.262,4676,27.7,34.1,321,10,13,68,84,99.34
apache/sling-org-apache-sling-servlets-resolver,166,3.198,18.11694809,54.74,8404,32.7,40.7,641,16,7,78,80,99.36
apanimesh061/VaderSentimentJava,1,2.494,8.796712109,19.445,888,86.8,95,59,9,60,17,84,99.95
arangodb/jackson-dataformat-velocypack,2185,9.108,24.45234958,213.604,52382,73.3,65,115,8,13,83,87,100
arnaugarcia/sallefy,40,3.886,29.81729285,111.984,13342,21.9,12.8,931,6,11,52,100,98.76
aseldawy/spatialhadoop2,118,173.064,1.524355152,90.747,38669,28.4,29.2,1617,12,148,228,0,99.86
attoparser/attoparser,16,62.117,7.039522192,375.157,17205,64.6,69.8,330,13,47,339,82,100
awslabs/route53-infima,20,1.952,15.70184426,28.698,1160,0,0,9,12,337,35,74,99.99
bdupras/guava-probably,95,7.038,3.494316567,17.555,1910,78.8,94.6,72,10,53,57,83,99.99
bfh-evg/unicrypt,390,35.523,10.54708217,339.141,33414,55.7,68.9,939,12,11,101,93,100
