project,clone_status,download_status,test_status,test_time,mop_status,mop_time,track_status,track_time,lazy_status,lazy_time,no_int_event_encoding,no_ondemand_sync,no everything
agarciadom-xeger,0,0,0,2.81,0,38.754,0,137.957,0,44.64,52.187,49.524,55.585
albfernandez-javadbf,0,0,0,6.897,0,35.309,0,35.047,0,14.625,25.513,39.018,46.192
almondtools-stringsearchalgorithms,0,0,0,6.995,0,186.844,0,768.81,0,237.508,315.263,286.633,338.467
almson-almson-refcount,0,0,0,10.15,0,64.876,0,66.206,0,20.198,18.772,20.863,19.346
Antibrumm-jackson-antpathfilter,0,0,0,2.072,0,114.308,0,178.836,0,46.028,45.736,48.765,48.416
attoparser-attoparser,0,0,0,62.117,0,437.274,1,872.027,0,449.57,589.954,521.779,630.609
awslabs-route53-infima,0,0,0,1.952,0,30.65,0,61.453,0,31.472,33.768,31.561,33.225
cocolian-cocolian-nlp,0,0,0,10.125,0,99.443,0,258.448,0,107.128,126.604,121.675,135.383
codelion-gramtest,0,0,0,1.992,0,77.928,0,262.321,0,79.687,96.15,99.847,109.682
conveyal-osm-lib,0,0,0,9.782,0,89.853,0,210.799,0,115.842,136.194,116.124,137.202
cowtowncoder-java-uuid-generator,0,0,0,3.616,0,39.459,0,165.516,0,107.885,113.603,109.911,123.319
dakusui-jcunit,0,0,0,8.798,0,556.809,1,1060.896,0,578.953,664.882,668.728,734.555
danieldk-dictomaton,0,0,0,5.905,0,155.224,0,375.203,0,161.303,186.1,177.172,200.901
davidmoten-bplustree,0,0,0,16.217,0,129.892,0,402.992,0,104.749,132.013,169.986,186.101
davidmoten-rtree,0,0,0,9.416,0,160.784,0,395.044,0,155.459,170.169,173.207,187.521
davidmoten-rtree2,0,0,0,7.516,0,94.656,0,182.479,0,97.034,106.025,102.697,110.16
davidmoten-rtree-multi,0,0,0,8.245,0,110.955,0,225.872,0,111.885,122.356,119.946,128.212
dperezcabrera-jpoker,0,0,0,4.251,0,134.487,0,602.054,0,135.102,142.362,142.718,151.853
eightbitjim-cassette-nibbler,0,0,0,2.717,0,291.49,1,855.829,0,345.899,403.856,359.198,406.533
f4b6a3-uuid-creator,0,0,0,24.52,0,35.308,0,42.804,0,42.398,42.237,40.763,42.134
finmath-finmath-lib,0,0,0,1449.678,0,18672.703,1,13950.076,0,11267.807,11328.6,11362.121,11545.317
flipkart-incubator-databuilderframework,0,0,0,62.562,0,263.426,0,535.643,0,250.803,273.017,251.642,262.481
fraunhoferfokus-Fuzzino,0,0,0,11.558,0,123.507,0,1271.601,0,396.37,837.6,482.291,907.881
fusion-jena-JaroWinklerSimilarity,0,0,0,13.217,0,408.78,1,1000.248,0,304.704,394.999,405.798,485.596
ghaffarian-progex,0,0,0,3.247,0,70.66,0,248.484,0,90.179,110.034,91.517,107.499
Grundlefleck-ASM-NonClassloadingExtensions,0,0,0,41.426,0,141.903,0,291.268,0,154.87,163.25,168.402,177.999
hlavki-jlemmagen,0,0,0,2.58,0,7.596,0,14.383,0,9.36,8.736,9.709,9.387
houbb-sensitive-word,0,0,0,5.13,0,272.175,0,1027.732,0,229.663,300.556,310.029,357.058
huaban-jieba-analysis,0,0,0,4.567,0,80.868,0,175.233,0,85.159,93.689,98.965,95.67
indeedeng-vowpal-wabbit-java,0,0,0,79.43,0,457.251,1,860.739,0,526.856,606.747,586.421,662.491
jahlborn-jackcess,0,0,0,36.919,0,193.463,0,878.768,0,263.18,327.393,322.076,305.135
kapoorlabs-kiara,0,0,0,12.516,0,216.511,0,1058.658,0,361.837,484.7,429.358,568.812
lexburner-consistent-hash-algorithm,0,0,0,4.671,0,69.936,0,330.071,0,67.252,75.303,83.595,84.509
LiveRamp-HyperMinHash-java,0,0,0,83.812,0,202.388,0,342.796,0,196.261,210.143,202.356,226.409
lukfor-pgs-calc,0,0,0,33.073,0,185.767,0,939.247,0,234.246,297.447,276.674,338.171
MezereonXP-AnomalyDetectTool,0,0,0,14.695,0,50.5,0,222.588,0,109.177,139.467,121.823,138.542
mimno-Mallet,0,0,0,16.898,0,1181.772,0,2438.344,0,753.155,577.98,689.339,601.297
mocnik-science-geogrid,0,0,0,16.197,0,88.39,0,175.887,0,129.558,119.104,108.471,128.57
myui-btree4j,0,0,0,44.325,0,119.824,0,319.246,0,111.235,131.084,137.605,152.126
octavian-h-time-series-math,0,0,0,13.212,0,130.179,0,395.418,0,207.276,385.989,322.07,384.974
renfei-ik-analyzer,0,0,0,8.206,0,92.317,0,214.684,0,99.433,107.578,108.995,115.013
romix-java-concurrent-hash-trie-map,0,0,0,4.803,0,38.042,0,155.64,0,71.25,100.096,69.868,99.391
sbesada-java.math.expression.parser,0,0,0,10.883,0,292.836,1,801.141,0,319.276,343.08,330.008,353.905
solita-functional-utils,0,0,0,1.794,0,17.101,0,38.294,0,30.13,37.245,31.958,33.733
spullara-java-future-jdk8,0,0,0,103.387,0,5044.174,0,30480.682,0,7170.414,22722.277,6521.226,24894.014
StarlangSoftware-TurkishDeasciifier,0,0,0,3.006,0,14.034,0,29.642,0,19.064,19.749,19.678,20.033
StarlangSoftware-TurkishMorphologicalDisambiguation,0,0,0,39.693,0,417.358,1,798.804,0,453.289,512.391,485.565,548.983
StarlangSoftware-TurkishPropBank,0,0,0,2.055,0,43.816,0,162.469,0,48.522,50.185,49.591,50.93
StarlangSoftware-TurkishSentiNet,0,0,0,2.603,0,59.071,0,292.933,0,71.852,75.954,68.252,70.771
StarlangSoftware-TurkishSpellChecker,0,0,0,29.905,0,110.432,0,373.496,0,231.151,262.584,230.222,287.951
Sweetiee-yi-Jaba,0,0,0,5.724,0,110.736,0,206.987,0,97.706,114.948,126.928,134.413
wiqer-ef-redis,0,0,0,4.345,0,72.969,0,187.095,0,71.381,66.311,64.829,72.285
zhoujianling-PointCloudUtilities,0,0,0,5.51,0,56.766,0,222.966,0,91.043,116.631,111.921,139.102
jingpeicomp-id-generator,0,0,0,33.066,0,182.09,1,1101.311,0,148.614,193.24,191.714,226.167
palindromicity-simple-syslog,0,0,0,2.082,0,32.953,0,69.517,0,34.075,43.153,37.996,43.591
graphstream-gs-core,0,0,0,8.535,0,54.614,0,117.347,0,73.998,76.227,81.628,79.854
jordw-heftydb,0,0,0,70.179,0,118.022,0,244.439,0,126.637,140.968,132.742,145.444
StarlangSoftware-TurkishMorphologicalAnalysis,0,0,0,42.269,0,132.946,0,329.948,0,144.285,160.751,160.703,170.51
houbb-segment,0,0,0,2.656,0,29.734,0,71.375,0,43.669,50.962,45.332,54.615
sangupta-bloomfilter,0,0,0,12.073,0,28.075,0,96.485,0,87.054,103.474,95.232,98.385
JetBrains-jetCheck,0,0,0,3.197,0,27.566,0,62.36,0,36.112,37.023,36.611,36.869
apanimesh061-VaderSentimentJava,0,0,0,2.494,0,21.939,0,93.272,0,22.428,28.084,27.617,31.688
zhkl0228-TraceReader,0,0,0,4.459,0,28.487,0,100.085,0,28.445,31.865,30.383,31.079
paypal-Gibberish-Detector-Java,0,0,0,2.019,0,10.826,0,42.367,0,12.066,14.273,16.131,17.252
apache-commons-imaging,0,0,0,27.291,0,188.612,0,529.243,0,153.073,197.651,208.074,247.084
confluentinc-kafka-connect-datagen,0,0,0,3.333,0,66.833,0,264.893,0,80.931,90.971,84.07,97.896
ysc-word,0,0,0,21.286,0,363.681,0,365.536,0,114.999,238.895,360.025,438.883
thegedge-java-radix-tree,0,0,0,1.601,0,10.507,0,38.659,0,14.505,14.152,12.66,15.87
mvel-mvel,0,0,0,9.274,0,178.064,0,225.608,0,86.276,91.773,89.522,89.841
kamaladafrica-codice-fiscale,0,0,0,3.112,0,13.216,0,40.353,0,15.585,15.401,14.904,14.142
iquadrat-sbb-train-scheduler,0,0,0,5.734,0,102.607,0,279.644,0,111.342,126.935,126.763,139.241
ThreeTen-threetenbp,0,0,0,5.198,0,35.657,0,113.311,0,46.506,46.198,46.424,49.633
lbehnke-hierarchical-clustering-java,0,0,0,2.628,0,22.535,0,64.52,0,27.624,31.01,28.2,29.197
cowtowncoder-java-cachemate,0,0,0,2.013,0,7.432,0,20.896,0,9.123,9.058,9.293,9.639
tdunning-bandit-ranking,0,0,0,5.107,0,29.204,0,66.732,0,29.347,32.932,35.999,36.135
iris-edu-stationxml-seed-converter,0,0,0,25.653,0,75.486,0,193.519,0,87.522,98.086,91.779,100.805
yurelle-Base45Encoder,0,0,0,3.037,0,11.274,0,28.544,0,13.16,17.798,18.025,20.485
bonnyfone-vectalign,0,0,0,2.076,0,10.532,0,34.259,0,16.712,16.632,16.812,17.424
apache-dubbo-hessian-lite,0,0,0,2.342,0,22.285,0,25.829,0,12.625,11.823,12.538,12.307
yomorun-hashids-java,0,0,0,2.124,0,16.218,0,47.34,0,23.871,21.265,20.429,21.716
OWASP-url-classifier,0,0,0,8.557,0,53.64,0,120.808,0,61.482,64.003,64.274,67.916
printingin3d-javascad,0,0,0,11.814,0,41.529,0,89.593,0,46.055,53.845,52.468,55.954
leonhad-paradoxdriver,0,0,0,3.678,0,29.014,0,55.972,0,28.781,33.111,30.851,34.875
nothingax-micro-DB,0,0,0,7.621,0,16.767,0,35.196,0,18.148,19.749,19.061,20.03
opengeospatial-ets-ogcapi-features10,0,0,0,26.963,0,141.597,0,442.657,0,229.183,268.969,219.56,260.094
thomasmueller-tinyStats,0,0,0,10.271,0,30.705,0,80.692,0,42.015,56.474,53.149,65.813
sonatype-heuristic-version,0,0,0,2.374,0,24.545,0,51.752,0,27.603,34.591,29.273,34.328
kungfoo-geohash-java,0,0,0,2.495,0,8.967,0,28.892,0,15.419,16.051,16.105,18.641
kohsuke-wordnet-random-name,0,0,0,2.111,0,7.272,0,15.854,0,8.509,8.271,8.615,8.625
tdebatty-java-LSH,0,0,0,2.148,0,5.314,0,12.163,0,6.537,7.381,8.168,8.501
Francesco149-koohii,0,0,0,2.887,0,7.346,0,16.792,0,9.246,11.286,10.422,11.285
joniles-mpxj,0,0,0,12.443,0,129.978,0,365.274,0,201.616,220.979,225.708,232.835
palatable-lambda,0,0,0,13.372,0,207.335,0,666.497,0,381.14,999,375.857,476.33
MagicTheGathering-mtg-sdk-java,0,0,0,9.188,0,65.913,0,123.346,0,70.735,77.504,70.869,75.921
thomasmueller-minperf,0,0,0,5.215,0,24.683,0,93.34,0,54.362,75.496,60.261,81.341
rohanpadhye-vasco,0,0,0,7.177,0,274.023,0,435.368,0,257.27,280.603,265.286,297.694
OnlineCodex-OnlineCodex,0,0,0,4.957,0,32.463,0,80.694,0,48.183,54.453,52.548,56.604
twitter-sbf,0,0,0,2.955,0,17.277,0,42.43,0,25.964,25.531,25.071,26.737
simplenlg-simplenlg,0,0,0,6.06,0,84.274,0,147.518,0,93.402,99.897,95.28,108.456
contentful-contentful-management.java,0,0,0,5.777,0,50.325,0,59.273,0,38.427,38.547,38.067,38.166
KasperFranz-AntiAd,0,0,0,1.533,0,10.65,0,12.13,0,7.87,,,
dhatim-business-hours-java,0,0,0,1.798,0,10.752,0,22.036,0,14.343,13.938,14.08,13.85
Heroicai0101-abtest,0,0,0,1.987,0,10.743,0,14.966,0,9.918,9.068,11.019,10.388
jenkins-infra-update-center2,0,0,0,27.819,0,110.233,0,198.31,0,131.996,140.616,131.25,146.915
bdupras-guava-probably,0,0,0,7.038,0,24.593,0,40.014,0,26.773,25.585,28.209,27.22
serg472-htmlcompressor,0,0,0,2.046,0,55.26,0,102.95,0,69.304,69.564,68.316,71.61
killbilling-recurly-java-library,0,0,0,3.213,0,34.894,0,59.332,0,40.037,42.394,41.2,44.81
Kuangcp-NettyBook2,0,0,0,2.581,0,10.866,0,19.329,0,13.072,11.246,11.735,11.492
dernasherbrezon-jradio,0,0,0,9.794,0,202.458,0,343.59,0,237.617,249.843,224.118,250.665
MottoX-TAOMP,0,0,0,13.931,0,24.523,0,37.715,0,26.575,26.309,26.601,25.383
delthas-JavaMP3,0,0,0,4.458,0,10.831,0,12.5,0,8.815,,,
xcsp3team-XCSP3-Java-Tools,0,0,0,3.433,0,16.663,0,25.369,0,17.899,18.698,18.419,19.135
tcurdt-jdependency,0,0,0,2.105,0,9.214,0,14.226,0,10.102,,,
apache-commons-jxpath,0,0,0,2.85,0,22.528,0,43.893,0,31.33,33.308,30.616,34.501
apache-commons-codec,0,0,0,20.029,0,38.353,0,58.183,0,41.86,42.742,41.752,44.086
StarlangSoftware-Corpus,0,0,0,2.818,0,9.682,0,16.475,0,11.929,,,
pagehelper-Mybatis-PageHelper,0,0,0,5.528,0,69.151,0,105.584,0,76.853,79.023,77.179,80.049
kolchagov-java-crud-api,0,0,0,1.764,0,9.256,0,22.014,0,16.029,16.07,16.214,17.327
NLPchina-ansj_seg,0,0,0,8.995,0,38.994,0,76.461,0,56.121,62.712,55.513,57.973
aelstad-keccakj,0,0,0,62.849,0,79.385,0,118.082,0,86.809,88.675,88.496,90.314
atorstling-bychan,0,0,0,2.63,0,8.369,0,9.765,0,7.181,,,
aseldawy-spatialhadoop2,0,0,0,173.064,0,263.811,0,362.084,0,266.723,287.122,267.078,285.656
xspec-xspec-maven-plugin-1,0,0,0,7.182,0,227.316,0,412.379,0,303.836,335.417,304.636,349.51
jahlborn-jackcessencrypt,0,0,0,3.09,0,23.268,0,40.944,0,30.181,31.373,29.84,31.449
libcoolsocket-java,0,0,0,10.027,0,15.428,0,18.755,0,13.884,,,
reckart-tt4j,0,0,0,6.485,0,17.015,0,25.785,0,19.128,24.259,25.662,34.433
dpaukov-combinatoricslib,0,0,0,2.07,0,10.094,0,14.789,0,11.038,,,
Mastercard-oauth1-signer-java,0,0,0,4.773,0,38.988,0,47.928,0,35.945,35.413,35.198,35.656
stefanbirkner-fake-sftp-server-rule,0,0,0,27.159,0,58.403,0,55.358,0,41.536,75.643,35.825,49.798
indeedeng-mph-table,0,0,0,9.878,0,53.078,0,516.85,0,391.009,520.624,415.777,464.93
j256-simplemagic,0,0,0,2.811,0,14.455,0,21.208,0,16.166,16.574,17.705,18.315
fortitudetec-sonar-ruby-plugin,0,0,0,2.111,0,40.321,0,101.124,0,77.475,79.474,74.617,79.962
HelixNetwork-pendulum,0,0,0,25.126,0,189.705,0,339.605,0,261.139,265.436,259.469,272.076
HdrHistogram-HdrHistogram,0,0,0,32.914,0,50.968,0,77.023,0,59.495,62.976,57.346,60.231
delving-x3ml,0,0,0,3.49,0,54.331,0,84.86,0,65.933,67.621,68.833,72.592
aled-jsi,0,0,0,1.924,0,16.03,0,22.43,0,17.468,,,
ManuelB-facebook-recommender-demo,0,0,0,2.383,0,11.848,0,16.508,0,12.865,,,
jarslab-babel-maven-plugin,0,0,0,7.991,0,129.772,0,197.355,0,154.001,164.412,156.715,160.754
Ant-Grand-Grand,0,0,0,3.828,0,40.313,0,58.595,0,45.961,45.288,47.669,46.952
sbesada-java.math.numerical.library,0,0,0,2.904,0,12.671,0,17.97,0,14.11,,,
Workday-timeseries-forecast,0,0,0,2.798,0,4.34,0,7.395,0,5.825,,,
arnaugarcia-sallefy,0,0,0,3.886,0,115.87,0,242.751,0,191.257,205.517,194.022,999
davidmoten-rxjava-extras,0,0,0,96.552,0,176.883,0,244.794,0,193.418,192.679,190.892,189.101
uwolfer-gerrit-rest-java-client,0,0,0,3.904,0,48.486,0,67.374,0,53.408,52.85,999,59.501
jillesvangurp-osm2geojson,0,0,0,3.601,0,19.038,0,25.774,0,20.712,20.824,20.771,20.923
toolbox4minecraft-amidst,0,0,0,2.102,0,12.067,0,17.277,0,13.982,,,
tauris-io-expression,0,0,0,1.835,0,13.476,0,17.079,0,13.826,,,
eBay-bsonpatch,0,0,0,1.714,0,12.882,0,18.195,0,14.745,,,
houbb-opencc4j,0,0,0,2.231,0,12.336,0,23.486,0,19.06,,,
supercargo-guice-persist-jooq,0,0,0,2.279,0,54.767,0,59.615,0,48.67,50.051,52.281,49.966
vangj-jbayes,0,0,0,1.778,0,26.78,0,36.843,0,30.259,30.319,29.96,30.298
abahgat-suffixtree,0,0,0,1.329,0,4.983,0,8.837,0,7.306,,,
smola-galimatias,0,0,0,2.168,0,14.124,0,18.154,0,15.019,,,
c-rack-cbor-java,0,0,0,2.035,0,7.354,0,11.084,0,9.171,,,
andylamp-BPlusTree,0,0,0,230.833,0,256.759,0,301.595,0,250.215,259.328,264.293,273.815
houbb-nlp-hanzi-similar,0,0,0,1.851,0,13.432,0,21.063,0,17.54,,,
vert-x3-vertx-docgen,0,0,0,2.716,0,9.541,0,22.566,0,18.877,,,
ThoughtWire-hazelcast-locks,0,0,0,60.76,0,93.099,0,95.868,0,80.48,83.546,75.964,74.926
jdbc-observations-datasource-proxy,0,0,0,4.528,0,78.54,0,98.562,0,83.054,87.422,87.639,90.272
apache-sling-org-apache-sling-servlets-resolver,0,0,0,3.198,0,57.938,0,65.731,0,55.432,55.703,61.517,54.145
zhaolihe-useragent-parser,0,0,0,1.619,0,21.993,0,36.12,0,30.467,31.666,29.418,31.538
pizihao-crow,0,0,0,24.146,0,33.007,0,43.303,0,36.771,36.348,36.295,36.389
apache-commons-compress,0,0,0,34.621,0,181.928,0,269.312,0,228.863,232.182,206.522,231.351
iotaledger-cliri,0,0,0,20.313,0,106.084,0,156.79,0,133.292,135.526,137.586,135.405
davidmoten-hilbert-curve,0,0,0,17.568,0,32.083,0,74.635,0,63.515,87.529,63.992,83.628
theborakompanioni-thymeleaf-extras-shiro,0,0,0,2.112,0,33.586,0,42.963,0,36.594,36.996,36.646,38.005
dmeoli-WS4J,0,0,0,4.678,0,17.786,0,24.654,0,21.017,,,
indexdata-cql-java,0,0,0,1.594,0,4.978,0,7.29,0,6.237,,,
osglworks-java-tool,0,0,0,3.235,0,40.111,0,54.839,0,47.103,47.522,50.782,52.308
Fundynamic-dune2themaker4j,0,0,0,2.937,0,41.846,0,52.549,0,45.156,46.497,45.652,46.564
tchristofferson-Config-Updater,0,0,0,1.559,0,12.559,0,17.83,0,15.331,,,
520github-fw-perf-test,0,0,0,1.763,0,6.399,0,6.875,0,5.924,,,
ctran-TinyRadius,0,0,0,1.387,0,4.333,0,5.067,0,4.376,,,
rythmengine-rythmengine,0,0,0,20.199,0,97.947,0,134.423,0,116.272,115.751,116.892,116.616
jsonld-java-jsonld-java,0,0,0,8.216,0,86.153,0,114.014,0,98.856,99.353,106.734,100.498
intive-FDV-DynamicJasper,0,0,0,9.244,0,167.29,0,211.808,0,183.738,191.966,183.141,190.784
AAA-AA-basic-tools,0,0,0,18.865,0,23.979,0,44.628,0,38.748,40.305,38.618,40.698
JavaMoney-jsr354-ri-bp,0,0,0,89.903,0,100.337,0,120.017,0,104.563,102.363,102.25,101.995
robert-bor-aho-corasick,0,0,0,2.721,0,13.59,0,65.431,0,57.013,78.142,61.582,82.134
